NUMTAR;DOCFEC;DOCSER;DOCNUM;DESTAR;IMPOBRA;IMPMAT
01;30/12/1998;98;000022;SUTITUCION DE  CAMISAS DE BOTELLAS DE ELEVACION Y VOLTEO;1038,55;9650,15
01;30/12/1998;98;000023;SUSTITUCION DE POLEAS DE MOTOR Y CORREAS;867,62;1873,14
01;01/01/1999;98;000024;LIMPIEZA DE MAQUINA.;346,18;0
02;01/01/1999;98;000024;REPARACION DE RODAJE;3029,1;12179,73
03;01/01/1999;98;000024;REPARACION RUEDA GUIA;692,37;2733,61
04;01/01/1999;98;000024;SUSTITUCION DE ENFRIADOR ACEITE HIDRAULICO;86,55;1082,34
05;01/01/1999;98;000024;CAJA DE VALVULAS: RECTIFICAD DE CAJA DE CONTROL, CROMADO DE CERROJOS Y LAPEDADO DE LOS MISMOS;216,36;961,62
01;04/03/1999;99;000001;REPARACION DE MARTILLO;0;2071,38
01;01/03/1999;99;000002;INSTALACION DE CENTRAL DE ENGRASE AUTOMATICA DE MARTILLO INCLUIDOS COMPONETES Y MANO DE OBRA.;210,35;2479,38
01;09/03/1999;99;000003;SUSTITUCION DE TEJAS DE CADENAS;0;2668,13
01;31/03/1999;99;000004;DESPLAZ. A FABRICA, SACAR MOTOR PARA  REPARACION EN TALLER. MONTAJE DE  J.DE JUNTAS, COJINETE BIELA, VALVULA, J. DE SEGMENTO, ELEM. BOMBA INYEC. Y TOBERA.DESPLAZ. A FRABICA Y COLOCACION EN MAQUINA. ;559,66;0
01;13/05/1999;99;000005;INSTALACION DE MARTILLO MONTABERT BRP 140;0;8768,17
01;25/05/1999;99;000006;REP. ARBOL DE DIRECC. ARTICULACION Y CIRCUITO HIDR.ENCASQUILLADO PTE. DESMONTAR,EL ARBOL DE DIRECC. NO TIENE DESPIECE.REPARAR CILINDRO MANO OBRA+KIT.;757,28;1433,13
02;25/05/1999;99;000006;REP. SISTEMA DE FRENOS, DESMONTAR TAMBORES Y TORNEADO, COLOC. DE ZAPATAS SEGUN MEDIDA Y KIT DE BOMBINES SIN PRECIO.REPARAC. BOMBA SERA MANO OBRA+KIT ;389,46;718,82
03;25/05/1999;99;000006;REPARACION FUGAS ACEITE DE MOTOR;86,55;0
04;25/05/1999;99;000006;REPARACION FUGAS ACEITE SISTEMA HIDRAULICO;129,82;0
01;03/06/1999;99;000007;REPARACION DE AIRE ACONDICIONADO;373,11;0
01;28/06/1999;99;000008;CONSTRUCCION DE CUCHARON;0;12570,17
01;06/07/1999;99;000009;CONSTRUCCION DE PALA;0;666,67
01;25/10/1999;99;000010;RODAJE;0;0
02;25/10/1999;99;000010;FUGAS DE CILINDRO DE INCLINACION DERECHO POR EMPAQUETADURAS;216,36;289,96
03;25/10/1999;99;000010;CAMBIO DE DISTRIBUIDOR COMPLETO Y CAJA DE MANIOBRA HIDRAULCA;649,09;19038,11
04;25/10/1999;99;000010;FUGA DE ACEITE POR LA VALVULA EXPANSORA DEL TANQUE HIDRAULICO.;64,91;179,47
05;25/10/1999;99;000010;LA CAJA HIDROSTATICA FUGAS INTERNAS.;4868,2;12126,49
06;25/10/1999;99;000010;FUGAS DE ACEITE DE MOTOR POR LA TAPA DE BALANCINES Y CUELLO DE CIGUEÑAL;324,55;121,6
07;25/10/1999;99;000010;MODIFICACION DE AIRE ACONDICIONADO IGUAL A LA Nº1;605,82;2327,78
08;25/10/1999;99;000010;ROTURA CRISTALES POR GOLPE EN LA PARTE ALTA DE LA CABINA;129,82;179,44
09;25/10/1999;99;000010;REPARACION DE PUERTAS DE CABINA, COMPUERTAS DE MOTOR Y TRANSMISION.;0;0
10;25/10/1999;99;000010;SUSTITUCION DE FAROS ROTOS POR GOLPE EN CABINA.;216,36;998,74
01;16/12/1999;99;000011;LIMPIEZA DE MAQUINA ;346,18;0
02;16/12/1999;99;000011;REPARACION DE MOTOR;3029,1;8652,77
03;16/12/1999;99;000011;MANO  OBRA REPARACION DE CARROS Y RODAJE;3029,1;0
05;16/12/1999;99;000011;MATERIAL SOPORTE COGIDA RUEDA GUIA;0;4081,23
06;16/12/1999;99;000011;MATERIAL SOPORTE COGIDA CARRO;0;2653,71
07;16/12/1999;99;000011;MATERIAL TENSOR;0;703,05
08;16/12/1999;99;000011;MATERIAL SOPORTE TRASERO , ANTIDESGASTE Y TORNILLERIA;0;5003,35
09;16/12/1999;99;000011;MATERIAL GUIAS DE CADENA Y SEPARADORES;0;6521,2
10;16/12/1999;99;000011;MATERIAL MANGA DE CARRO;0;152,56
11;16/12/1999;99;000011;REPARACION DE RUEDA GUIA;692,37;1558,3
12;16/12/1999;99;000011;MATERIAL DE RODILLOS;0;6935,92
13;16/12/1999;99;000011;REPARACION DE CILINDROS;649,09;1294,78
14;16/12/1999;99;000011;REPARACION DE VARILLAS PEDALES DE GIRO Y FRENOS;346,18;692,28
15;16/12/1999;99;000011;REPARACION COMPUERTAS DE MOTOR Y TRANSMICION;476;459,32
16;16/12/1999;99;000011;SUSTITUCION DE FAROS ROTOS POR GOLPE CABINA;216,36;1160,34
17;16/12/1999;99;000011;REPARACION DE CUADRO SALPICADERO DE MAQUINA;216,36;348,8
18;16/12/1999;99;000011;REPARACION DE BALANCIN;346,18;2563,21
01;16/12/1999;99;000012;CADENAS MARCA CATERPILLAR  CON TEJAS Y TORNILLOS;0;10995,02
02;16/12/1999;99;000012;RUEDAS CABILLAS CATERPILLAR;0;792,07
01;16/12/1999;99;000013;REPARACION DE MOTOR PIEZAS NACIONALES;3029,1;5371,31
01;16/12/1999;99;000014;CADENA MARCA SOREFA;0;8959,88
01;16/12/1999;99;000015;CADENA MARCA BERCO;0;9953,17
02;16/12/1999;99;000014;RUEDA DE CABILLA MARCA SOREFA;0;592,75
02;16/12/1999;99;000015;RUEDA DE CABILLA MARCA BERCO;0;665,62
01;21/03/2000;00;000001;ARTICULACION CENTRAL SUPERIOR;0;606,43
02;21/03/2000;00;000001;ARTICULACION CENTRAL INFERIOR;0;939,66
03;21/03/2000;00;000001;AGUILON;0;1902,29
07;21/03/2000;00;000001;BALANCIN , BRAZO DE PALA , COGIDA DE BOTELLA EN MAQUINA Y COGIDA DE PALA;0;2965,09
08;21/03/2000;00;000001;BOTELLAS DE ELEVACION;0;1310,71
09;21/03/2000;00;000001;BOTELLAS DE VOLTEO;0;502,03
10;21/03/2000;00;000001;BOTELLAS DE DIRECCION;0;817,27
01;06/04/2000;00;000002;CONSTRUCCION DE MAGUERA;0;284,28
01;27/04/2000;00;000003;CONSTRUCCION LATIGUILLO;0;34,38
01;08/09/2000;00;000004;MANO DE OBRA DE REPARAR AGUILON NO SE PUEDE DAR PRESUPUESTO, SE HARA CON PARTES DE TRABAJO ;0;920,01
02;08/09/2000;00;000004;REPARACION DE PALA;162,27;6,61
03;08/09/2000;00;000004;REPARACION DE MOTOR;933,07;1082,4
04;08/09/2000;00;000004;REPARACION DE TRANSMISION;1622,73;2839,48
05;08/09/2000;00;000004;REPARACION DE RADIADOR;121,7;387,32
06;08/09/2000;00;000004;SE INCLUIRA EN EL PRESUPUESTO EL MATERIAL QUE SALGA DEFECTUOSO EN EL MONTAJE.;0;0
01;30/11/2000;00;000005;REPARACION POR CALENTAMIENTO;0;5605,56
01;27/12/2000;00;000006;REPARACION EN TALLER;265,05;510,13
01;27/12/2000;00;000007;REPOSICION PUNTERO;0;334,64
01;03/01/2001;00;000008;REPARACION MAQUINA;2253,8;3971,31
01;28/12/2000;00;000009;REPARACION DE MOTOR;0;965,67
01;03/01/2001;00;000010;REPARACION MAQUINA;0;6666,34
01;26/04/2001;01;000001;ENVIO MATERIAL MARTILLO BRH 125;0;1080,39
01;21/09/2001;01;000002;REPARACION DE REDUCTOR;0;4370,62
01;21/09/2001;01;000003;REPACION DE TANQUE HIDRAULICO;0;3499,23
01;21/09/2001;01;000004;CONSTRUCCION DE LATIGUILLO SEGUN PETICION 4913/01;0;44,99
01;15/01/2002;02;000001;SUSTITUCION DE LLANTA DE RUEDA;0;5026,92
01;29/04/2002;02;000002;SE INCLUYE, PORTES, SOMBRERO ACOPLAMIENTO Y  PUESTA EN FUNCIONAMIENTO;0;22537,95
01;17/10/2002;02;000003;CONSTRUCCION DE LATIGUILLOS;0;29
01;16/10/2002;02;000004;REPARACION DE PISTON;793,2;0
02;16/10/2002;02;000004;ENCASQUILLADO DE AGUILON;1586,4;0
03;16/10/2002;02;000004;CAMBIO DE PLUMIN;277,62;0
04;16/10/2002;02;000004;REPARACION DE MOTOR;1784,7;3862,96
05;16/10/2002;02;000004;SALIDEROS GENERALES;178,47;101,07
01;21/01/2003;03;000001;INSTALACION DE AVISADOR DE MARCHA ATRAS Y DESTELLANTE;96,75;131,65
01;15/04/2003;03;000002;FILTROS DE AIRE MAQUINA 966;0;117,38
02;08/08/2003;03;000004;EL PUNTERO DEBE SUSTITUIRSE YA QUE CON EL ACTUAL NO HAY GARANTIA DE LA REPARACION;0;451
01;13/08/2003;03;000005;CARDAN COMPLETO PARA ACCIONAMIENTO DEL ALIMENTADOR AVV01;0;703,18
01;10/03/2004;04;000001;COTIZACION DE PRECIO DE LATIGUILLO SEGUN SU PETICION 062808/04;0;21,75
01;01/02/2006;60;000001;MATERIAL CARRETILLA DP40;0;1126,28
01;17/02/2006;60;000002;OFERTA BATERIAS  PARA TALLERES;0;530,64
02;17/02/2006;60;000002;OFERTA LAMPARAS EN CAJA DE 10 UNIDADES;0;33,5
01;20/02/2006;60;000003;REPARACION DE TRANSMISION;4240;0
02;20/02/2006;60;000003;REPARACION BOMBA TRANSMISION;79,5;208,85
03;20/02/2006;60;000003;SUSTITUCION DE ENFRIADOR;106;20,52
04;20/02/2006;60;000003;REPARACION BOMBA DE HIDRAULICO;79,5;3240,11
05;20/02/2006;60;000003;LIMPIEZA DE CIRCUITO DE REFRIGERACION;159;264,52
06;20/02/2006;60;000003;CAMBIO DE ACEITE 2.000 H ;159;1986,07
01;23/02/2006;60;000004;ALQUILER CARRETILLA CATERPILLAR DP 25 2500 KG.;0;960
01;16/03/2006;60;000005;INSTALACION DE MARTILLO EN MAQUINA;66,25;93,06
01;22/03/2006;60;000006;PIEZAS REPARACION DEL MARTILLO ;0;2570,37
01;29/03/2006;60;000007;REPARACION DE MOTOR;1725;0
02;29/03/2006;60;000007;REPARAR ALTERNADOR Y MOTOR DE ARRANQUE;0;259,56
03;29/03/2006;60;000007;REPARAR BOMBA INYECTORA, INYECTORES Y TURBO;0;2327,8
04;29/03/2006;60;000007;REPARACION DE RADIADOR;345;0
05;29/03/2006;60;000007;RECTIFICADOS;0;837,05
06;29/03/2006;60;000007;REPARACION DE AIRE ACONDICIONADO: PTE. REVISAR;0;0
07;29/03/2006;60;000007;REPARACION PEDAL DE ACELERADOR: PTE. REVISAR;0;0
01;07/04/2006;60;000008;REPARACION DE TRANSMISION;4611;6941,28
01;20/04/2006;60;000009;ALQUILER CARRETILLA ELEVADORA CATERPILLAR DP 25 2500 KG. 20-04-2006 A 04-05-2006 ;0;650
01;18/05/2006;60;000010;MATERIAL CARRETILLA HYSTER;0;940,8
01;08/06/2006;60;000011;FILTROS , RETENES RUEDAS , RODAMIENTOS DE BUJES ;0;370,8
01;01/08/2006;60;000012;REPARACION DE MARTILLO;368;847,6
01;08/09/2006;60;000013;CADENA DE TRACTOR;0;8866,36
01;28/09/2006;60;000015;PRESUPUSTO FILTROS 460 B;0;857,81
01;30/09/2006;60;000016;OFERTA FILTROS DE AIRE;0;165,49
01;30/09/2006;60;000017;OFERTA FILTROS PARA DRAGALINA NORHWS;0;123,73
02;30/09/2006;60;000017;OFERTA FILTROS PARA DRAGALINA RUSTON;0;59,47
01;11/10/2006;60;000018;OFERTA FILTROS DRAGALINA NORHWS;0;192,6
02;11/10/2006;60;000018;OFERTA FILTRO DRAGALINA RUSTON;0;102,56
01;17/10/2006;60;000019;PRESUPUESTO MATERIAL DESGASTE;0;1183,86
01;07/11/2006;60;000020;REPARACION MOTOR CAT 3408;0;8260,29
01;07/11/2006;60;000021;OFERTA 6000001795/03.11.2006;0;182,24
01;08/11/2006;60;000022;PIEZAS REPARACION MOTOR 3048  988 F;0;11381,04
01;14/11/2006;60;000023;REPARACION DE MOTOR;2300;11525,23
01;14/11/2006;60;000024;REPARACION DE MOTOR;2300;9618,42
01;15/11/2006;60;000025;OFERTA FILTROS ALTERNATIVOS PARA VOLVO L 90 C;0;287,24
02;15/11/2006;60;000025;ORFERTA FILTROS ALTERNATIVOS PALA VOLVO L 120;0;530,39
03;15/11/2006;60;000025;OFERTA FILTROS ZETERMEYER L 500;0;16,15
04;15/11/2006;60;000025;OFERTA FILTROS CAMION PEGASO 5332 SUPER CONE;0;53,66
05;15/11/2006;60;000025;OFERTA FILTROS CAMION PEGASO 1127;0;34,58
06;15/11/2006;60;000025;OFERTA FILTROS CAMION MERCEDES 1935;0;21,79
07;15/11/2006;60;000025;OFERTA FILTROS RETRO CATEPILLAR 320;0;258,69
01;16/02/2007;71;000001;PRESUPUESTO MATERIAL DESGASTE;0;1286,64
01;21/02/2007;71;000002;PEDIDO PARA REPARACION DE CORONA DE GIRO;0;4408,26
01;22/03/2007;71;000003;OFERTA FILTRO AIRE;0;91,2
01;22/03/2007;71;000004;CAZO PALA IT28 G CON ENGACHE RAPIDO;0;10480
01;26/04/2007;71;000005;OFERTA CANTONERAS PARA CUCHARONES PALAS 980 G;0;215,46
01;23/04/2007;71;000006;MONTAJE DE CADENAS A TRACTOR D-4;1592,5;6492,5
01;30/05/2007;71;000007;CUBIERTA DE RUEDA PARA CAMION PERLINI;0;6000
01;08/08/2007;71;000008;ELEMENTO FILTRO SECUNDARIO;0;82,4
01;05/10/2007;71;000009;INSTALACION DE DEPOSITO PARA ACEITE USADO;0;2248
01;09/11/2007;71;000010;OFERTA PARA 4 CUBIERTAS CAMION PERLINI.;0;11400
01;09/11/2007;71;000011;OFERTA PARA 4 CUBIERTAS CAMION PERLINI;0;18940
01;23/11/2007;71;000012;OFERTA PARA 2 CUBIERTAS KOMATSU;0;7260
01;23/11/2007;71;000013;OFERTA PARA 2 CUBIERTAS KOMATSU;0;10142,4
01;28/11/2007;71;000014;MOTOR ACELERADOR KOMATSU PC 240 NLC 6K;0;1296,58
01;28/11/2007;71;000015;ASIENTO CAT 950;0;415,6
01;21/02/2008;81;000001;COMPRESOR DRAGALINA;0;3244,04
01;21/02/2008;81;000002;WA 480 Nº1 Nº SERIE 50284;0;7793,46
01;04/03/2008;81;000003;PRESUPUESTO MOTORES CUMMINS;0;80,35
01;06/03/2008;81;000004;REPARACION DE AGUILON;896;2486,38
01;26/03/2008;81;000005;REPARACION DE CARDAN Y RADIADOR;0;596,49
01;31/03/2008;81;000006;REPARACION DE MOTOR;1680;3902,88
01;02/04/2008;81;000007;FRENOS L180C;0;1521,38
01;02/04/2008;81;000008;REPARACION DE MOTOR ;0;4241,52
01;11/04/2008;81;000009;REPARACION DE CULATA , BOMBA DE AGUA Y TERMOSTATO;0;720,39
01;21/04/2008;81;000010;REPARACION DE TRANSMISION Y BOMBA HIDRAULICA;0;11331,42
01;21/04/2008;81;000011;OFERTA DIENTES REFORZADOS;0;976,8
01;21/04/2008;81;000012;OFERTA DIENTES ;0;919,56
01;21/04/2008;81;000013;OFERTA DIENTES WA 480;0;316,08
01;15/04/2008;81;000014;ENDEREZAR BRAZOS DE AGUILON;2900;0
01;23/04/2008;81;000015;DESMONTAR MOTOR EN MAQUINA;896;0
02;23/04/2008;81;000015;DESPIECE DE MOTOR;420;0
01;29/04/2008;81;000016;MATERIAL VOLVO A35D;0;4356,2
01;06/05/2008;81;000017;PRESUPUESTOS DIENTES;0;149,66
01;06/05/2008;81;000018;REPARACION DE BOMBA HIDRAULICA;0;8875
01;08/05/2008;81;000019;REPARACION DE BOMBA HIDRAULICA;0;2954,67
01;09/05/2008;81;000020;REPARAR CASQUILLOS , BULONES DE AGUILON , RETEN  BUJE , JUNTA CARTER , PASTILLAS FRENO MANO;4900;7671,8
01;15/05/2008;81;000021;REPARACION DE MOTOR EN TALLER;2800;14654,11
01;21/05/2008;81;000022;BOMBA DE FRENO;0;137,58
01;23/05/2008;81;000023;OFERTA TACOS VOLVO A40;0;1186,14
01;23/05/2008;81;000024;OFERTA INYECTORES DE INTERCAMBIO WA 500-3H;0;3900
01;06/06/2008;81;000025;REPARACION DE BOMBA HIDRAULICA;0;3347,78
01;16/06/2008;81;000026;REPARACION DE MARTILLO;980;10375,5
01;16/06/2008;81;000027;PRESUPUESTO CUCHILLA;0;619,35
01;10/06/2008;81;000028;REPARACION DE INYECCION;120;3245,74
01;24/06/2008;81;000029;BOMBA DE FRENO;0;10577,7
01;30/06/2008;81;000030;PRESUPUESTO MANDO INVERSOR JCB 930;0;184,5
01;01/07/2008;81;000031;PRESUPUESTO RADIADOR PRINCIPAL DE AGUA JCB 535;0;712
01;02/07/2008;81;000032;REPARACION DE MOTOR EN TALLER;0;20555,97
01;03/07/2008;81;000033;REPARACION DE MOTOR EN TALLER;0;8251,09
01;17/07/2008;81;000034;REPARACION DE MARTILLO;162;434,74
01;17/07/2008;81;000035;MANGUITO INFERIOR;0;1119,64
01;18/07/2008;81;000036;PRESUPUESTO MARTILLO 700;0;534
01;22/08/2008;81;000037;REPARACION DE FRENOS;0;12898,96
01;17/09/2008;81;000038;REPARACION DE TRANSMISION;1300;3291,75
01;29/09/2008;81;000039;PRESUPUESTO MANDO;0;1972,5
01;30/09/2008;81;000040;MOTOR CAT C-10 PARA MACHACADORA;0;13500
01;01/10/2008;81;000041;PRESUPUESTO MOTOR CUMMINS;0;541,37
01;08/10/2008;81;000042;REPARACION DE BOTELLAS DE VOLTEO;224;178,2
01;08/10/2008;81;000043;OFERTA CARTER;0;2081,46
01;21/10/2008;81;000044;OFERTA REDUCTOR TRASLACION ECR38 ;0;4498,86
01;21/10/2008;81;000045;MONTAR CADENA PROTECTORA DE NEUMATICO;980;0
01;23/10/2008;81;000046;MATERIAL RECAMBIO;0;189,51
01;23/10/2008;81;000047;REPARACION DE INYECCION;105;547,92
01;03/11/2008;81;000048;PRESUPUESTO MOTOR CUMMINS;0;8059,28
01;04/11/2008;81;000049;REPARACION DE TRANSMISION EN TALLER;3360;6027,32
01;07/11/2008;81;000050;PRESUPUESTO MANDO;0;337,18
01;21/11/2008;81;000051;MATERIAL DE REPUESTOS;0;3560
01;26/11/2008;81;000053;MONTAR CADENA PROTECTORA DE NEUMATICO;980;0
01;26/11/2008;81;000054;MATERIAL DE REPUESTO;0;1563,91
01;27/11/2008;81;000055;PRESUPUESTO MOTOR Y PIÑON;0;618,52
01;01/12/2008;81;000056;REPARACION DE INYECCION;105;547,92
01;09/12/2008;81;000058;REPARACION DE VASTAGO CILINDRO ;0;2709,62
01;11/12/2008;81;000059;PRESUPUESTO KIT JUNTAS SUPERIOR;0;172,29
01;14/01/2009;91;000001;PRESUPUESTO PASTILLAS FRENO;0;1863
01;21/01/2009;91;000002;MATERIAL COGIDA PARTE BAJA PALA;0;4256,7
01;21/01/2009;91;000003;REPARACION DE FRENOS TRASERO;780;0
01;29/01/2009;91;000004;COLOCACION DE SISTEMA SEGURIDAD;208;447,08
01;29/01/2009;91;000005;COLOCACION DE SISTEMA SEGURIDAD;208;447,08
01;06/02/2009;91;000006;MATERIAL CAMBIO CARTE;0;719,2
01;09/02/2009;91;000007;OFERTA REDUCTOR TRANSLACION INTERCAMBIO ECR38;0;5720,5
01;12/02/2009;91;000008;OFERTA BOMBA INYECTORA;0;4555,29
01;16/02/2009;91;000009;SACAR LA TRANSMISION DEL CAMION VOLVO;560;0
02;16/02/2009;91;000009;DESPIECE DE LA TRANSMISION EN TALLER;420;0
01;17/02/2009;91;000010;OFERTA PISTONES L150;0;150,9
01;26/02/2009;91;000011;MAERIAL DE RODAJE;1680;10440,15
01;26/02/2009;91;000012;MATERIAL DE RODAJE;1680;7808,43
01;27/02/2009;91;000013;PRESUPUESTO CONTACTOR;0;96,39
01;05/03/2009;91;000014;PRESUPUESTO CUCHILLA Y SUBCUCHILLA BOOBCAT;0;300,78
01;05/03/2009;91;000015;PRESUPUESTO DISCOS DE FRENOS.;0;369,98
01;09/03/2009;91;000016;CAJA CAMBIO ;2800;0
01;09/03/2009;91;000017;CAJA CAMBIO;1400;0
01;10/03/2009;91;000018;MONTAR CADENAS NUEVAS EN RUEDAS DELANTERAS;800;0
01;11/03/2009;91;000019;PRESUPUESTO BOMBA INYECTORA;0;3360
01;13/03/2009;91;000020;PRESUPUESTO TRANSMISION;0;40223,28
01;13/03/2009;91;000021;PRESUPUESTO TRANSMISION INTERCAMBIO;0;25247,16
01;13/03/2009;91;000022;PRESUPUESTO REPARACION TRANSMISION.;0;8668,14
01;16/03/2009;91;000023;REPARACION DE CARDAN ;364;685,85
01;17/03/2009;91;000024;REPARACION DE VASTGOS BOTELLAS ELEVACION;560;5297
01;17/03/2009;91;000025;REPARACION DE VASTAGOS DE BOTELLA ELEVACION;560;2040,3
01;19/03/2009;91;000026;REPARACION DECONVERTIDOR Y EMBRAGUE;0;4971,25
01;20/03/2009;91;000027;REPARACION DE TRANSMISION EN TALLER;1372;9430,5
01;20/03/2009;91;000028;PRESUPUESTO A40D;0;5937,23
01;23/03/2009;91;000029;CAMBIO DE 250 H, DAR VUELTA A CANTONERAS;392;236,28
01;25/03/2009;91;000031;PRESUPUESTO MATERIAL USADO MANDO FINAL WA500;0;5143,66
01;25/03/2009;91;000032;MATERIAL TRANSMISION;0;3732,02
01;25/03/2009;91;000033;MATERIAL TRANSMISION;0;2675,25
01;25/03/2009;91;000034;SUSTITUCION DE TURBO;140;2273,92
01;25/03/2009;91;000035;SUSTITUCION DE TURBO DE INTERCAMBIO;140;1785,57
01;25/03/2009;91;000036;PRESUPUESTO MOTOR HIDRAULICO A40D;0;1111,44
01;26/03/2009;91;000037;PRESUPUESTO MOTOR 3304;0;6187,5
01;26/03/2009;91;000038;DESMONTAR MOTOR DE MAQUINA;1344;0
01;26/03/2009;91;000040;SACAR MOTOR DE MAQUINA Y COLOCAR UNA VEZ REPARADO;2520;0
02;26/03/2009;91;000040;REPARACION EN TALLER;2800;60
01;27/03/2009;91;000041;PRESUPUESTO;0;1896,95
01;27/03/2009;91;000042;PRESUPUESTO CASE;0;952,99
01;30/03/2009;91;000043;PRESUPUESTO BOMBA HIDRAULICA 345B;0;23866
01;30/03/2009;91;000044;PRESUPUESTO INYECTORES ;0;4098
01;30/03/2009;91;000045;PRESUPUESTO INYECTORES.;0;5190
01;31/03/2009;91;000046;SUSTITUCION DE INYECTORES;0;2741,84
01;31/03/2009;91;000047;REVISION GENERAL Y REPARAR ENGRASADORES DE CUCHARON;252;219,92
01;31/03/2009;91;000048;CAMBIO DE ACEITE Y FILTROS 250 H Y REVISION GENERAL DE MAQUINA;252;114,87
01;01/04/2009;91;000049;CAMBIO DE ACEITE Y FILTROS 500 H. Y REVISION GENERAL;280;458,44
01;02/04/2009;91;000050;SUSTITUCION DE PISTON DE PRENSA;168;0
01;02/04/2009;91;000051;PRESUPUESTO KIT EMPAQUETADURAS.;0;962,5
01;03/04/2009;91;000052;PRESUPUESTO WA500 ORIGINAL;0;1000,84
01;03/04/2009;91;000053;PRESUPUESTO;0;2963,24
01;03/04/2009;91;000054;PRESUPUESTO MATERIAL ORIGINAL;0;6900,45
01;03/04/2009;91;000055;PRESUPUESTO MATERIAL ORIGINAL;0;2480,99
01;06/04/2009;91;000057;PRESUPUESTO WA 500 ORIGINAL.;0;573,16
