CODOPER;NUMTAR;DOCFEC;DOCSER;DOCNUM;DESCOP;HFACT;HREAL;DTOOBR;CODMOD;PORIMP;PORREC;PRETAR;LINOBRA;MARCA
800;01;06/11/1998;98;000036;DESMONTAR TAPA DE EMBOLO DE INCLINACION, COLOCACION DE JUNTA NUEVA Y MONTAJE.;3;5;0;01;16;4;21,63644;005;S
800;01;09/11/1998;98;000037;DESPLAZAMIENTO A FABRICA, REPARAR INSTALACION DE MOTORES DE REFRIGERACION DE AIRE Y DESMONTAR MOTOR . ;3;4,5;0;01;16;4;21,63644;005;S
800;02;09/11/1998;98;000037;MONTAJE DE MOTOR, REPARACION DE COJIDAS DE MOTOR. REPARACION DE LUCES DE CUADRO;8,5;10;0;01;16;4;21,63644;005;S
800;01;17/11/1998;98;000039;DESMONTAR TUBERIA DE TURBO Y COLOCACION DE JUNTA DE UNION DE TURBO A ESCAPE.;3,5;4,98;0;01;16;4;21,63644;005;S
800;01;30/11/1998;98;000041;DESPLASAMIENTO A CANTERA PARA REVISION DEL REDUCTOR Y DESMONTAR DE MAQUINA PARA SU TRASLADO AL TALLER. Y MONTAJE DEL MISMO EN MAQUINA.;28;27,5;0;01;16;4;19,53289;005;S
101;02;30/11/1998;98;000041;DESPIECE Y LIMPIEZA DE REDUCTOR;12;11,5;0;01;16;4;19,53289;005;S
101;01;30/10/1998;98;000042;TRANSPORTE DE MAQUINA AL TALLER Y LIMPIEZA PARA SU REPARACION;10;9,47;0;01;16;4;19,53289;005;S
101;02;30/10/1998;98;000042;DESMONTAJE DE SISTEMA DE FRENOS Y LIMPIEZA PARA SU REPARACION;34;33,32;0;01;16;4;19,53289;005;S
101;03;30/10/1998;98;000042;CAMBIO GENERAL DE FILTROS Y ACEITES.     ;6;5,23;0;01;16;4;19,53289;005;S
101;04;30/10/1998;98;000042;DESMONTAR TURBO II COLOCACION DE ASPAS NUEVAS Y MONTAJE DEL MISMO.        ;1;0,5;0;01;16;4;19,53289;005;S
800;01;18/11/1998;98;000043;CONPROBACION DE MARTILLO EN CANTERA;2;2;0;01;16;4;19,53289;005;S
101;02;18/11/1998;98;000043;DESMONTAR, LIMPIEZA, COLOCACION DE BARRA PARTIDA Y MONTAJE DEL MISMO      ;24;15,25;0;01;16;4;19,53289;005;S
101;01;10/11/1998;98;000044;DESMONTAR ACUMULADOR PARA SUSTITUCION DE MEMBRANA Y CARGA DEL MISMO.;2;1,4;0;01;16;4;19,53289;005;S
101;01;30/11/1998;98;000046;DESMONTAR MARTILLO, LIMPIEZA COLOCACION DE COMPONETENTES NUEVOS, REPARACION DE CORAZA DE MARTILLO Y MONTAJE DEL MISMO. ;16;0;0;01;16;4;19,53289;005;N
102;01;04/11/1998;98;000047;LIMPIEZA DE MAQUINA, DESMONTAR TUBERIAS, COLOCACION DE JUNTAS Y HACER NIVELES DE ACEITE.;32;26;0;01;16;4;13,52277;005;S
101;01;04/11/1998;98;000047;HACER PLANOS DE TUBERIAS HIDRAULICAS Y MONTAJE DE LAS MISMAS.;5;5;0;01;16;4;19,53289;010;S
101;02;04/11/1998;98;000047;CAMBIO DE EMPAQUETADURAS DE BOTELLAS DE ELEVACION Y DIRECCION, HACER NIVEL DE HIDRAULICO, DESMONTAR TUBO DE ASPIRACION DE BOMBA Y COMPROBACION DE LA MISMA.;17;17;0;01;16;4;19,53289;005;S
102;02;04/11/1998;98;000047;CAMBIANDO EMPAQUETADURAS CON JUAN;27;33;0;01;16;4;13,52277;010;S
101;03;04/11/1998;98;000047;DESMONTAR BOMBA, COLOCACION DE CARRETES NUEVOS Y MONTAJE.;3;3;0;01;16;4;19,53289;005;S
102;03;04/11/1998;98;000047;CONSTRUCCION DE TUBO METALICO DE ASPIRACION DE BOMBA, Y MONTAJE DE BOMBA HIDRAULICA EN MAQUINA CON JUAN.;10;0;0;01;16;4;13,52277;010;S
102;04;04/11/1998;98;000047;SOLDADURA DE BULONES DE AGUILON DE PALA.;1;0,97;0;01;16;4;13,52277;005;S
101;01;03/11/1998;98;000048;COMPROBACION DE MOTOR HIDRAULICO ESTANDO EL MISMO CORRECTO;2;1,98;0;01;16;4;19,53289;005;S
800;02;03/11/1998;98;000048;DESPLAZAMIENTO A MAQUINA Y COMPROBACION DE PRESIONES HIDRAULICAS DE SERVOMANDOS. ;6;5,98;0;01;16;4;19,53289;005;S
101;03;03/11/1998;98;000048;COMPROBACION EN TALLER DE BOMBA HIDRAULICA, COMPROBACION DE VARIADOR, DESPIECE, COLOCACION DE KIT DE JUNTAS Y MONTAJE. REGULACION DE PRESIONES HIDRAULICAS.;12;12;0;01;16;4;19,53289;005;S
101;04;03/11/1998;98;000048;COMPROBACION DE VALVULAS DE REPARTIDOR DE MOTORES AJUSTE Y MONTAJE DE LAS MISMAS.;6;5,67;0;01;16;4;19,53289;005;S
101;05;03/11/1998;98;000048;DESMONTAR MOTOR DESPIECE REPARACION, COLOCACION DE UN RODAMIENTO,  RETEN Y KIT DE JUNTAS ESPECIALES. MONTAJE Y COLOCACION. CONSTRUCCION DE TUBERIAS NUEVAS Y MONTAJE. ;10;10,5;0;01;16;4;19,53289;005;S
800;01;20/11/1998;98;000049;DESPLAZAMIENTO A FABRICA PARA TRASLADO DE MAQUINA AL TALLER Y SACAR LISTADO PIEZAS.;4;2;0;01;16;4;19,53289;005;S
101;01;20/11/1998;98;000049;DESMONTAR SISTEMA DE FRENOS PARA SU REPARACION  ;44;33;0;01;16;4;19,53289;010;S
102;01;20/11/1998;98;000049;DESMONTANDO CON JUAN;24;29,47;0;01;16;4;13,52277;015;S
101;04;20/11/1998;98;000049;SUSTITUCION DE KIT DE KIT DE EMPAQUTADURAS DE ELEVACION Y VOLETO;10,5;2,48;0;01;16;4;19,53289;005;S
102;04;20/11/1998;98;000049;CAMBIANDO EMPAQUETADURAS CON JUAN;15,5;23,58;0;01;16;4;13,52277;010;S
101;08;20/11/1998;98;000049;DESMONTAR VALVULA DE FRENOS, DESPIECE REPARACION, MONTAJE Y REGULACION DE LA MISMA.;8;10;0;01;16;4;19,53289;005;S
101;09;20/11/1998;98;000049;HACER NIVELES Y CAMBIAR JUNTA DE FILTRO DE ACEITE DE MOTOR.;2;1,72;0;01;16;4;19,53289;005;S
102;09;20/11/1998;98;000049;DAVID CON PACO AYUDANDO;2;2,32;0;01;16;4;13,52277;010;S
800;01;24/11/1998;98;000050;DESPLAZAMIENTO A FABRICA, DESMONTAR ALTERNADOR PARA REPARACION EN TALLER, REPARACIION Y DESPLAZAMIENTO PARA SU MONTAJE EN MAQUINA. ;7;10;0;01;16;4;22,97669;005;S
800;01;11/11/1998;98;000052;DESPLAZAMIENTO A FINCA LA RANA, REPARAR FUGA DE INYECTOR Y TUBO HIDRAULICO ;2,5;2,5;0;01;16;4;19,53289;005;S
101;01;09/11/1998;98;000054;DESMONTAR FILTROS LIMPIEZA DE DEPOSITO AJUSTE Y REGULACION DEL MISMO;2;2;0;01;16;4;19,53289;005;S
800;01;25/11/1998;98;000056;DESPLAZAMIENTO A CANTERA SUSTITUCION DE RELOJ DE TEMPERATURA Y CAMBIAR JUNTA TAPA BALANCINES.;2;2;0;01;16;4;19,53289;005;S
102;01;25/11/1998;98;000056;CON JUAN MONTANDO RELOJ;2;1,97;0;01;16;4;13,52277;010;S
800;01;01/12/1998;98;000058;DESPLAZAMIENTO A FABRICA PARA SACAR CAJA DE CAMBIOS Y SU REPARACION EN TALLER, DESPLAZAMIENTO FABRICA, COLOCACION DE CAJA DE CAMBIOS Y SUTITUCION DE FILTRO DE ACEITE.;31;67;0;01;16;4;22,97669;005;S
800;01;20/11/1998;98;000059;REVISION DE VEHICULO Y TRASLADO DEL MISMO INSPECCION TECNICA.;8;4,5;0;01;16;4;22,97669;005;S
101;02;20/11/1998;98;000059;DESMONTAR BALLESTAS, COLOCACION DE CASQUILLOS NUEVOS Y MONTAJE DE LAS MISMAS.MONTAJE DE TACOS DE MOTOR. REPARACION DE DOBLE TRACCION, DESMONTAR ENGANCHE NO AUTORIZADO;25;20,48;0;01;16;4;22,97862;005;S
800;01;21/11/1998;98;000060;REVISION DE MOTOR.DESMONTAR CULATA Y TRASLADO AL TALLER PARA SU REPARACION;21;21,72;0;01;16;4;19,53289;005;S
101;02;21/11/1998;98;000060;DESMONTAR CULATA, DESPIECE, LIMPIEZA, ESMERILADO DE VALVULAS Y MONTAJE. DESMONTAR INTERCOOLER, SOLDADURA DE VARILLA Y MONTAJE DEL MISMO.;12;8;0;01;16;4;19,53289;005;S
800;03;21/11/1998;98;000060;DESPLAZAMIENTO A CANTERA PARA MONTAJE DE CULATA REPARADA EN TRACTOR.;23,5;29;0;01;16;4;19,53289;005;S
800;01;06/11/1998;98;000061;DESMONTAR TAPA DE DISTRIBUCION Y DITRIBUCION, COLOCACION DE JUNTAS, PUESTA A PUNTO DE DISTRIBUCION Y BOMBA INYECTORA, COLOCACION DE RETEN DELANTERO, RETEN MODERNO. COLOCACON DE COMPONETES, CARETA  Y TUBERIAS HIDRAULICAS DE AGUA Y AIRE. ;23,5;43,73;0;01;16;4;19,53289;005;S
801;01;06/11/1998;98;000061;MONTAJE DE JUNTAS DE TUBERIAS Y ACEITE DEL CARTER;8;0;0;01;16;4;19,53289;010;S
800;01;03/12/1998;98;000062;DESPLAZAMIENTO A FABRICA, DESMONTAR TAPA DE BALANCINES, AJUSTAR VARILLAS Y LEVA, REPONER ACEITE Y CAMBIO DE FILTRO DE AIRE;3,5;3,5;0;01;16;4;22,97669;005;S
101;01;14/12/1998;98;000064;DESMONTAR CONJUNTO DE VALVULAS DE TRASLACION, COLOCACION DE KIT DE REPARACION Y MONTAJE. REGULACION DE PRESIONES.;15;14,67;0;01;16;4;19,53289;005;S
800;01;14/12/1998;98;000065;DESPLAZAMIENTO A MATADERO, REGULACION DE MECHERO DE CALDERA NUEVA.;2,5;2,48;0;01;16;4;19,53289;005;S
101;01;16/12/1998;98;000067;DESMONTAR AGUILON PARA SU REPARACION, LIMPIEZA Y MONTAJE DEL MISMO   ;24;23,5;0;01;16;4;19,53289;005;S
101;02;16/12/1998;98;000067;DESMONTAR BOTELLA, DESPIECE, LIMPIEZA, COLOCACION DE EMPAQUETADURA Y MONTAJE DE LA MISMA. ;11;11;0;01;16;4;19,53289;005;S
101;03;16/12/1998;98;000067;DESMONTAR CADENA, RUEDA GUIA Y RUEDA CABILLA REPARACION DE SALIDERO Y MONTAJE;8;7,48;0;01;16;4;19,53289;005;S
101;01;17/12/1998;98;000068;DESMONTAR ACUMULADOR, COLOCACION DE MEMBRA Y CARGA. MONTAJE DEL MISMO;2;1,98;0;01;16;4;19,53289;005;S
101;01;18/12/1998;98;000069;DESMONTAR EMBRAGES LIMPIEZA DE LOS MISMO , COLOCACION DE PIEZAS Y MONTAJE DEL MISMO EN TRACTOR   ;68;74;0;01;16;4;19,53289;005;S
800;01;10/12/1998;98;000070;DESPLAZAMIENTO A CANTERA Y REVISION DE GRUPO Y GESTION DE PIEZAS.;3,5;3,47;0;01;16;4;19,53289;005;S
101;01;10/12/1998;98;000070;DESMONTAR GRUPO, COLOCACION DE PIÑON DE ATAQUE, AJUSTE DEL MISMO Y DEMAS COMPONENTES. MONTAJE DE GRUPO;7,5;13;0;01;16;4;19,53289;010;S
102;01;10/12/1998;98;000070;MONTANDO CON JUAN;6;0;0;01;16;4;13,52277;015;S
800;01;16/12/1998;98;000071;DESPLAZAMIENTO A CANTERA PARA REVISION DE EMBOLO DE ELEVACION IZQUIERDO;1;1;0;01;16;4;19,53289;005;S
101;02;16/12/1998;98;000071;DESMONTAR EMBOLO SUTITUCION DE BOTELLA Y MONTAJE DEL MISMO EN MAQUINA MONTAJE DE TUBERIAS, REPARACION DE PUERTA DE CABINA, HACER NIVELES DE ACEITE, ARRANQUE Y PRUEBA DE MAQUINA.;22;15;0;01;16;4;19,53289;005;S
102;02;16/12/1998;98;000071;DESMONTANDO Y REPARANDO CON JUAN;33;38,98;0;01;16;4;13,52277;010;S
800;03;16/12/1998;98;000071;DESPLAZAMIENTO A CANTERA PARA REVISION DE ENFRIADOR DE TRANSMISION;1;0,48;0;01;16;4;19,53289;005;S
101;03;16/12/1998;98;000071;DESMONTAR ENFRIADOR Y COLOCACION DE NUEVO EN MAQUINA;8;6;0;01;16;4;19,53289;010;S
102;03;16/12/1998;98;000071;COLOCANDO ENFRIADOR CON JUAN;8;10,48;0;01;16;4;13,52277;015;S
800;01;14/12/1998;98;000072;DESPLAZAMIENTO A FABRICA, REPARAR LUCES DE FAROS, SOPORTE Y AVISADOR DE MARCHA ATRAS.;4,5;4,5;0;01;16;4;22,97669;005;S
800;01;14/12/1998;98;000073;DESPLAZAMIENTO A FABRICA, REPARACION DE INSTALACION DE AVISADOR, SUSTITUCION POR UNO NUEVO Y REPARACION DE LUCES.;3;3;0;01;16;4;22,97669;005;S
800;01;12/12/1998;98;000075;DESPLAZAMIENTO A FABRICA DESMONTAR GRUPO DIFERENCIAL PARA SU REPARACION EN TALLER, NO TENIENDO REPARACION. DESPLAZAMIENTO A FABRICA MONTAJE DE GRUPO DIFERENCIAL USADO ;12;12,98;0;01;16;4;22,97669;005;S
101;01;12/12/1998;98;000075;DESMONTAR GRUPO EN TALLER Y GESTION DE UNO USADO.;0;0;0;01;16;4;22,97669;010;S
800;01;22/12/1998;98;000076;DESPLAZAMIENTO A FABRICA, REPARACION DE INSTALACION DE ARRANQUE Y CALENTADORES, SUSTITUCION DE UNO.COLOCACION DE BORNA DE BATERIA Y CARGA DE LA MISMA, TENSAR CORREA DE ALTERNADOR.;5;5;0;01;16;4;22,97669;005;S
800;01;10/12/1998;98;000077;DESPLAZAMIENTO A FABRICA REVISION DE DIRECCION Y AJUSTE DE ROTULA.;2;5,48;0;01;16;4;21,63644;005;S
800;01;22/12/1998;98;000078;DESPLAZAMIENTO A FABRICA Y REPARACION DE TUBO METALICO HIDRAULICO DE EMBOLOS DE VOLTEO, SOLDADURA DEL MISMO, COLOCACION TORICAS NUEVAS Y MONTAJE DEL MISMO.                   ;4;8;0;01;16;4;21,63644;005;S
800;01;18/12/1998;98;000079;DESPLAZAMIENTO A CANTERA PARA REVISION DE MOTOR.;3;4,5;0;01;16;4;19,53289;005;S
800;02;18/12/1998;98;000079;DESPLAZAMIENTO A CANTERA PARA SACAR MOTOR Y TRASLADO AL TALLER. ;12;20,45;0;01;16;4;19,53289;005;S
101;03;18/12/1998;98;000079;REPARAR PLANO Y ASIENTOS DE UNA CULATA Y ESMERILADO DE VALVULAS DE LAS DOS. REPARAR BOMBA INYECTORA E INYECTORES, COLOCAR CIGUEÑAL STD. Y EQUIPO DE MOTOR. REPARAR BOMBA DE AGUA, MOTOR ARRANQUE,GENERADOR Y CONVERTIDOR PAR, REVISION BOMBAS H.;229;230,32;0;01;16;4;19,53289;005;S
800;04;18/12/1998;98;000079;DESPLAZAMIENTO A FABRICA Y MONTAJE DE MOTOR EN MAQUINA;54;55,98;0;01;16;4;19,53289;005;S
101;05;18/12/1998;98;000079;REVISION DE MATERIALES Y DESPLAZAMIENTO A FINANZAUTO PARA GESTION DE DEVOLUCION DEL ALBARANES.;9;9,5;0;01;16;4;19,53289;005;S
101;01;26/11/1998;98;000080;REPARACION DE CAJA DE VALVULAS Y BOMBA.;13;12,98;0;01;16;4;19,53289;005;S
800;01;13/11/1998;98;000081;DESPLAZAMIENTO A MAQUINA, REVISION DE LA MISMA, DESMONTAR CONJUNTO DE VALVULAS, REPARACION DE LA MISMA, COLOCACION DE KIT DE REPARACION Y MONTAJE DE LA MISMA.;4;3,98;0;01;16;4;19,53289;005;S
800;01;22/12/1998;98;000083;DESPLAZAMIENTO  A FINCA PARA REVISION DE MAQUINA, SIENDO LA AVERIA DE CARACTER ELECTRICO          ;1,5;1,5;0;01;16;4;19,53289;005;S
101;01;28/12/1998;98;000084;DESMONTAR MOTOR DE TRASLACION Y DESPIECE, REPARACION Y MONTAJE. CONSTRUCCION DE TUBERIA COLOCACION DE LA MISMA Y PRUEBA. CORREGIR SALIDEROS DE ACEITE HIDRAULICO;20;19,48;0;01;16;4;19,53289;005;S
101;02;28/12/1998;98;000084;DESMONTAR CABLE DE ESTRANGULADOR DE BOMBA INYECTORA, REPARACION Y MONTAJE DEL MISMO. MONTAJE DE CHAPA DE PISO Y APRETAR TANQUE HIDRAULICO.;8;8;0;01;16;4;19,53289;005;S
800;01;27/11/1998;98;000085;DESPLAZAMIENTO A FABRICA PARA CAMBIO GENERAL DE FILTROS Y ACEITES;13;20;0;01;16;4;21,63644;005;S
800;02;27/11/1998;98;000085;DESPLAZAMIENTO A FABRICA, DESMONTAR EMBOLOS PARA SU TRASLADO Y REPARACION EN TALLER.;13;15,98;0;01;16;4;21,63644;005;S
101;02;27/11/1998;98;000085;DESPIECE DE EMBOLOS EN TALLER, LIMPIEZA, COLOCACION DE KITS DE EMPAQUETADURAS NUEVAS Y MONTAJE PARA SU COLOCACION EN MAQUINA. ;24;23,72;0;01;16;4;21,63644;010;S
801;02;27/11/1998;98;000085;DESPLAZAMIENTO A FABRICA PARA COLOCACION DE EMBOLOS EN MAQUINA Y HACER NIVELES DE ACIETES..;10;13;0;01;16;4;19,53289;015;S
800;01;04/01/1999;99;000001;DESPLAZAMIENTO A FABRICA Y DESMONTAR TUBO DE DIRECCION , CONSTRUCCION DE UNO NUEVO Y MONTAJE DEL MISMO EN CARRETILLA;3,5;3,5;0;01;16;4;22,97669;005;S
101;01;28/12/1998;98;000086;SUSTITUCION DE KIT DE FRENO DE MANO;1;1;0;01;16;4;19,53289;005;S
101;01;21/12/1998;98;000087;DESMONTAR TUBO HIDRAULICO , FABRICACION DE UNO NUEVO Y MONTAJE EN MAQUINA      ;10;9,48;0;01;16;4;19,53289;005;S
901;02;21/12/1998;98;000087;CONSTRUCCION LATIGUILLO DE 1" 1500 MM;0;0;0;01;16;4;19,53289;005;S
101;01;21/12/1998;98;000088;CONSTRUCCION DE TUBO HIDRAULICO DE BOTELLA DE VOLETO, COLOCACION DE TUBO Y COLOCACION VASTAGO Y BRAZO.
REPARACION DE TUBO DE FRENO Y SANGRADO DE LOS MISMOS.;6;5,98;0;01;16;4;19,53289;005;S
800;01;14/12/1998;98;000090;REPARACION DE INSTALACION DE AVISADOR DE MARCHA ATRAS Y LUCES DE LA MISMA.;3;2,98;0;01;16;4;22,97669;005;S
800;01;30/11/1998;98;000092;TOMAR PRECIONES DE BOMBA PRINCIPAL Y MANIOBRA, DESMONTAR CAJA VALVULAS PARA REPACION EN TALLER.;22;33;0;01;16;4;21,63644;005;S
101;02;30/11/1998;98;000092;DESPIECE DE CAJA DE VALVULAS, LIMPIEZA, COLOCACION DE KIT DE REPARACION Y MONTAJE. ;12;24,4;0;01;16;4;21,63644;005;S
800;03;30/11/1998;98;000092;MONTAJE DE CAJA DE VALVULAS EN MAQUINA, CAMBIOS DE FILTROS Y ACEITE;11;14;0;01;16;4;21,63644;005;S
800;04;30/11/1998;98;000092;DESPLAZAMIENTO A FABRCIA, REGULACION CON SUPLEMENTOS DE CERROJOS Y VALVULAS.;14;20;0;01;16;4;21,63644;005;S
800;01;01/12/1998;98;000093;REPARACION DE INSTALCION DE CONTACTO, CABLES GENERALES, CAJAS PORTAFUSIBLES Y REPARAR LUCES.;8;0;0;01;16;4;22,97669;005;N
101;01;16/11/1998;98;000094;DESMONTAR MAQUINA, LIMPIEZA, DESMONTAR BOMBA DE FRENOS, DESPIECE DE LA MISMA, MONTAJE Y COLOCACION EN MAQUINA.REVISION DE CALIMAS DE FRENOS.;15;13,95;0;01;16;4;19,53289;005;S
101;02;16/11/1998;98;000094;CORREGIR SALIDEROS DE ACEITE DE SERVO;5;3,73;0;01;16;4;19,53289;005;S
101;01;11/02/1999;99;000002;LIMPIEZA PARA SU REPARACION;4;4;0;01;16;4;19,53289;005;S
104;01;11/02/1999;99;000002;DESMONTAR SISTEMA DE FRENOS DELANTEROS PARA SU REPARACION,,TORNEADO DE DISCOS DE FRENOS Y MONTAJE.DESMONTAR RUEDAS PARA COLOCACION DE SELLOS. DESMONTAR REDUCTORES PAR SU REPARACION.;35;37,97;0;01;16;4;19,53289;010;S
101;02;11/02/1999;99;000002;LIMPIEZA PARA SU REPARACION;4;7;0;01;16;4;19,53289;005;S
104;02;11/02/1999;99;000002;DESMONTAR SISTEMA DE FRENOS TRASEROS PARA SU REPARACION , COLOCACION DE KIT,  MONTAJE Y COLOCACION EN MAQUINA DE LOS MISMOS  ;20;17;0;01;16;4;19,53289;010;S
101;03;11/02/1999;99;000002;DESMONTAR CARTER, SOLDADURA DEL MISMO Y MONTAJE EN MAQUINA.;2;0;0;01;16;4;19,53289;005;S
101;04;11/02/1999;99;000002;CAMBIO GENERAL DE FILTROS Y ACEITES DE MAQUINA.;3;2,98;0;01;16;4;19,53289;005;S
101;01;18/01/1999;99;000003;DESMONTAR FILTROS DE GASOIL, SANGRADO  PARA QUITAR TOMA DE AIRE;2;1,5;0;01;16;4;19,8334;005;S
800;01;18/01/1999;99;000004;DESMONTAR COLECTOR , REVISION DE TURBO Y MONTAJE DE UNO NUEVO , SACAR TORNILLOS PARTIDOS.;26,5;28,97;0;01;16;4;23,31927;005;S
800;02;18/01/1999;99;000004;DESMONTAR Y REPARACION DE MOTOR DE CALEFACCION, REPARAR LUCES DE CONTACTO DE RELEX DE CUADRO Y RELEX DE CONTACTO;10;8;0;01;16;4;23,31927;005;S
101;01;29/01/1999;99;000005;DESMONTAR ACUMULADOR , COLOCACION DE MEMBRANA Y CARGA , MONTAJE DEL MISMO;2;2;0;01;16;4;19,8334;005;S
101;01;20/01/1999;99;000006;DESMONTAR VALVULAS DE CONTROL DE BLOQUEO DE FRENOS PARA SU REPARACION, COLOCACION DE KIT DE REPARACION Y MONTAJE DE LA MISMA.;20;6,98;0;01;16;4;21,63644;005;S
800;01;21/01/1999;99;000007;DESPLAZAMIENTO A FABRICA PARA VER FUGA DE TANQUE DE GOSOIL                     ;2;5;0;01;16;4;21,63644;005;S
101;02;21/01/1999;99;000007;LIMPIEZA DE DE MAQUINA Y DESMONTAR TANQUE GASOIL;60;60;0;01;16;4;21,63644;005;S
104;02;21/01/1999;99;000007;CONSTRUCCION DE TANQUE GASOIL;0;61,5;0;01;16;4;19,53289;010;S
103;02;21/01/1999;99;000007;COLOCACION DE TANQUE EN MAQUINA.;30;30;0;01;16;4;19,53289;015;S
101;03;21/01/1999;99;000007;REPARAR PERDIDAS DE ACEITE DE MOTOR Y BOMBA INYECTORA,  Y COLOCACION DE INYECTORES NUEVOS.;18;17,98;0;01;16;4;21,63644;005;S
101;04;21/01/1999;99;000007;CAMBIOS DE ACEITES DE HIDRAULICO, HIDROSTATICA Y FILTROS.;4;4;0;01;16;4;21,63644;005;S
101;05;21/01/1999;99;000007;DESMONTAR POLEAS DE VENTILADOR, ALTERNADOR, CIGUEÑAL Y CORREAS, COLCOACION DE NUEVAS.. ;40;56;0;01;16;4;21,63644;005;S
101;06;21/01/1999;99;000007;LIMPIEZA DE TANQUE , CAMBIO DE FILTROS Y REPARACION DE FUGAS;5;4,75;0;01;16;4;21,63644;005;S
101;07;21/01/1999;99;000007;DESMONTAR TUBERIAS Y RACORES, CONSTRUCCION DE DE DOS RACORES NUEVOS Y COLOCACION DE LOS MISMOS.;6;0;0;01;16;4;21,63644;005;S
101;08;21/01/1999;99;000007;COLOCACION DE FAROS NUEVOS , REPARACION DE LUCES DE CUADRO , COLOCACION DE BORNA BATERIA Y CONSTRUCION DE COGIDA DE BATERIA;15;14,48;0;01;16;4;21,63644;005;S
101;01;18/01/1999;99;000008;DESMONTAR MARTILLO , LIMPIEZA DEL MISMO , DESMONTAR ACUMULADOR , SACAR TORNILLOS PARTIDOS, CARGA Y MONTAJE DEL MISMO.;14;13,5;0;01;16;4;19,8334;005;S
800;01;14/12/1998;98;000096;DESPLAZAMIENTO E INSTALACION DE AVISADORES DE MARCHA ATRAS.;0;0;0;01;16;4;22,97669;005;S
800;01;08/01/1999;99;000009;DESMONTAR CONTROL HIDRAULICO PARA SU REPARACION EN TALLER, EXTRAER ESPARRAGOS DE ESCAPE, ROSCAR ALOJAMIENTOS Y RECTIFICAR PLANOS Y MONTAJE DE LOS MISMOS.;27;40,67;0;01;16;4;19,53289;005;S
101;01;08/01/1999;99;000009;DESPLAZAMIENTO A FINANZAUTO POR MAATERIALES;0;2;0;01;16;4;13,52277;010;S
800;02;08/01/1999;99;000009;DESPIECE DE CAJA DE MANIOBRA, LIMPIEZA DE VALVULAS, COLOCACION DE MUELLES DE LOS MISMOS, COLOCACION DE UNA VALVULA DE CARGA NUEVA, MONTAJE Y REGULACION;15;10,97;0;01;16;4;19,53289;005;S
800;01;05/01/1999;99;000010;DESPLAZAMIENTO A CANTERA Y REVISION DE CAJA TRANSFER, REPARACION EN TALLER Y COLOCACION EN MAQUINA                       ;5;7,5;0;01;16;4;19,8334;005;S
101;01;07/01/1999;99;000011;SORDAR Y REFORSAR RUEDA DE TRACTOR;3;3;0;01;16;4;19,8334;005;S
101;01;07/01/1999;99;000012;DESMONTAR PISTONES PARA COLOCACION DE EMPAQUETADURAS Y MONTAJE DE LOS MISMOS;26;25,5;15;01;16;4;19,53289;005;S
800;01;29/01/1999;99;000013;DESPLAZAMIENTO A FINCA PARA DESMONTAR RADIADOR Y TRASLADO AL TALLER PARA SU REPARACION Y MONTAJE.;18;18;0;01;16;4;19,8334;005;S
