NUMTAR;FECORD;NUMORD;DESTAR;CODTER;MARCA
01;16/11/1998;000046;REVICION DE HIDRAULICOS DE PALA;253;N
01;16/11/1998;000047;REPARACION DE FUGAS DEL COLECTOR DE ESCAPE Y TURBO;253;N
01;17/11/1998;000048;REPARACION DE BOTELLA;391;N
02;13/11/1998;000044;REPARACION CULATA EN TALLER.;7;N
02;12/11/1998;000045;REPARACION DE COMPONETES NO CONFORMES EN LA ITV;49;N
02;16/11/1998;000046;REPARACION DE CAJA DE VALVULAS EN TALLER.;253;N
01;19/11/1998;000050;REPARACION DE TUBERIAS HIDRAULICAS;70;N
09;05/11/1998;000028;HACER NIVELES Y CAMBIO DE JUNTA DE ACEITE MOTOR.;7;N
01;20/11/1998;000051;REVISION DE EMBOLO DE ELEVACON IZQUIERDO;7;N
03;13/11/1998;000044;MONTAJE DE CULATA EN TRACTOR.;7;N
01;24/11/1998;000053;REPARACION DE TRANSMISION;33;S
02;24/11/1998;000053;REPARACION DE PARTES DEL MOTOR.;33;S
03;24/11/1998;000053;REPARACION DE FRENOS.;33;S
04;24/11/1998;000053;REPARACION DE AGUILON;33;S
05;24/11/1998;000053;REPARACION DE BOTELLAS DE ELEVACION, VOLTEO Y DIRECCION.;33;S
03;16/11/1998;000046;COLOCACION DE CAJA DE VALVULAS EN MAQUINA.;253;N
01;25/11/1998;000054;REPARACION DE CAJA DE CAMBIOS;49;N
02;20/11/1998;000051;CAMBIO DE BOTELLA DE ELEVACION;7;N
01;24/11/1998;000055;SUSTITUCION DE ALTERNADOR;49;N
01;25/11/1998;000056;REPARACION DE REDUCTOR IZQUIERDO;220;N
01;25/11/1998;000057;SUSTITUCION DE RELOJ DE TEMPERATURA;7;N
01;23/11/1998;000058;REPARACION DE CUENTA LITROS;17;N
04;16/11/1998;000046;REPARACION DE CERROJOS Y VALVULAS;253;N
01;20/10/1998;000059;REPARACION DE SILLON NEUMATICO;400;N
02;25/11/1998;000056;REPARACION DE SERVOTRANSMISION;220;N
01;01/12/1998;000060;REPARAR CABLES GENERALES Y LUCES;50;N
01;03/12/1998;000061;REVISAR TAPA BALANCINES;50;N
01;03/12/1998;000062;REPARACION DEL  DIFERENCIAL DELANTERO;1;N
01;09/12/1998;000063;FALLO EN EL CONTROL NUMERICO DE TEMPERATURA;17;N
01;09/12/1998;000064;REPARACION DE EMBRAGES DE GIRO;401;N
01;09/12/1998;000065;REFORZAR AGUILON DE MAQUINA ;387;N
01;09/12/1998;000066;REPARACION DE BOMBA HIDROSTATICA;402;N
01;09/12/1998;000068;REVISION DE BOMBA HIDRAULICA DE TRASLACION ;356;N
01;10/12/1998;000069;REVISION DE DIRECCION;253;N
02;09/12/1998;000065;REPARACION DE BOTELLA DE AGUILON;387;N
01;11/12/1998;000070;REPARACION DE GRUPO DIFERENCIAL;50;N
04;11/11/1998;000041;MONTAJE DE MOTOR EN MAQUINA;7;N
01;14/12/1998;000071;REGULACION DE MECHERO;23;N
01;17/12/1998;000072;REVISION Y CARGA DE ACUMULADOR;387;N
03;09/12/1998;000065;REPARACION DE SALIDERO RUEDA CABILLA;387;N
01;17/12/1998;000073;REPARACION DE ACUMULADOR;387;N
01;21/12/1998;000074;REPARACION DE TUBO HIDRAULICO DE BOMBA PRINCIPAL;29;N
01;21/12/1998;000075;REPARACION DE TUBO HIDRAULICO DE VOLTEO Y TUBO DE FRENOS.;29;N
03;16/11/1998;000051;SUSTITUCION DE ENFRIADOR ;7;N
05;11/11/1998;000041;GESTION DE DEVOLUCION DE MATERIALES EN FINANZAUTO;7;N
02;18/12/1998;000074;CONSTRUCCION  LATILGUILLO;29;N
01;18/12/1998;000076;COMPROBACION DE MOTOR DE TRASLACION Y ASPIRACION DE BOMBA;356;N
02;18/12/1998;000076;REPARACION DE CABLE DE ACELERADOR;356;N
01;11/12/1998;000077;REPARAR LUCES Y AVISADOR.;50;N
01;14/12/1998;000078;REPARACION DE LUCES Y SUSTITUCION DE AVISADOR MARCHA ATRAS;50;N
01;16/12/1998;000080;REPARACION DEL CONTROL DE MANIOBRA HIDRAULICO Y SUSTITUCION DE PERNOS DE ESCAPE ROTOS;7;N
01;22/12/1998;000081;REVISION DE MAQUINA;275;N
01;22/12/1998;000082;REPARACION DE TUBO HIDRAULICO DE VOLTEO;253;N
01;22/12/1998;000083;REPARACION ELECTRICA;50;N
01;28/12/1998;000084;CAMBIAR KIT DE REPARACION DE FRENO DE MANO;1;N
02;28/10/1998;000026;REPARACION DE VIBROS;70;N
01;29/12/1998;000085;REVISION DE MARTILLO;328;N
07;22/09/1998;000002;FALTAS POR ENFERMEDAD;10000;N
01;24/11/1998;000086;CAMBIO GENERAL DE FILTROS Y ACEITES;253;N
02;24/11/1998;000086;REPARACION DE EMBOLOS DE ELEVACION Y VOLTEO  ;253;N
02;09/11/1998;000032;REPARACION DE FRENOS PARTE TRASERA ;33;N
03;09/11/1998;000032;REPARACION DE CARTER;33;N
04;09/11/1998;000032;CAMBIO DE FILTROS Y ACEITES. ;33;N
01;01/01/1999;000001;MANTENIMIENTO DE TALLER;10000;N
01;04/01/1999;000002;REPARACION DE CAJA TRANSFE;387;N
01;04/01/1999;000003;REVISION DE FUGA DE GASOIL EN TANQUE;253;N
01;04/01/1999;000004;REPARACION DE TUBO HIDRAULICO DE DIRECCION;50;N
02;16/12/1998;000080;REPARACION DE CAJA DE MANIOBRA EN TALLER;7;N
01;04/12/1998;000087;REVISION DE MARTILLO;3;N
01;05/01/1999;000005;REPARACION DE ACUMULADOR DE MARTILLO;387;N
01;04/01/1999;000006;REVISION MAQUINA PARA TRASLADO AL TALLER;253;N
02;01/01/1999;000001;ATENCION CLIENTES;10000;N
03;01/01/1999;000001;RECADOS;10000;N
04;01/01/1999;000001;ASUNTOS PERSONALES;10000;N
05;01/01/1999;000001;CONSTRUCCION LATIGUILLOS;10000;N
06;01/01/1999;000001;HORAS SIN IMPUTACION;10000;N
07;01/01/1999;000001;FALTA POR ENFERMEDAD;10000;N
01;07/01/1999;000007;REPARACION DE RUEDA TRACTOR;8;N
01;07/01/1999;000009;COLOCACION DE EMPAQUETADURAS;391;N
01;14/12/1998;000088;REPARACION INSTALACION AVISADOR Y LUCES. ;50;N
01;11/01/1999;000011;REPARACION DE GATOS HIDRAULICOS;403;N
01;13/01/1999;000012;CAMBIO DE COLECTOR DE ESCAPE Y REVISION DE TURBO ;50;N
01;13/01/1999;000013;CONSTRUCCION DE CAPOTAS DE CIERRE DE MOTOR Y GUARDABARROS;50;N
01;12/01/1999;000014;REPARACION DE BOMBA DE TRASLACION;356;N
01;12/01/1999;000015;REPARACION DE CHAPAS DE PARTE TRASERA;17;N
01;13/01/1999;000016;REPARACION DE CAJA DE VALVULAS;80;N
02;13/01/1999;000013;MONTAJE EN FABRICA DE ELEMENTOS CONSTRUIDOS;50;N
02;04/01/1999;000003;LIMPIEZA DE MAQUINA, DESMONTAR TANQUE Y COLOCACION DE NUEVO;253;N
03;04/01/1999;000003;REPARAR PERDIDAS DE ACEITE Y DE GASOIL .;253;N
04;04/01/1999;000003;CAMBIOS DE ACEITES Y FILTROS;253;N
01;13/01/1999;000017;REPARACION BLOQUEO DE FRENOS. ;253;N
01;03/12/1998;000089;DESPLAZAMIENTO A FABRICA E INSTALACION DE AVISADORES DE MARCHA ATRAS EN LAS SIGUIENTES MAQUINAS.;50;S
05;04/01/1999;000003;CAMBIO DE POLEAS ;253;N
01;15/01/1999;000018;DESMONTAR RADIADOR PARA SU REPARACION;21;N
01;15/01/1999;000019;REVISION DE MAQUINA;7;N
01;15/01/1999;000020;REPARACION DE AGUILON;20;N
06;04/01/1999;000003;REPARACION DE FUGAS DE TANQUE HIDRAULICO;253;N
01;18/01/1999;000021;REVISION DE MAQUINA;7;N
01;20/01/1999;000023;PARADA DE MOTOR POR TEMPERATURA CONTROL ELECTRONICO;253;N
01;13/01/1999;000024;REVISION DE BOMBA DE RETRO;275;N
01;18/01/1999;000025;QUITAR TOMA AIRE GASOIL;54;N
01;19/01/1999;000026;REVISION GENERADORES;253;N
01;21/01/1999;000027;REPARACION DE REDUCTOR RUEDA TRASERA IZQUIERDA ;310;N
01;21/01/1999;000028;REPARACION DE GRUPO DELANTERO Y TUBERIAS DE ELEVACION;50;N
01;15/01/1999;000022;REPARACION GENERADOR;253;N
01;22/01/1999;000029;SOLDAR QUEBRANTADORA;310;N
01;21/01/1999;000030;ROTURA DE ESPARRAGOS DE COLECTOR DE ESCAPE ;7;N
01;25/01/1999;000031;COLOCACION DE CUCHILLAS;17;N
01;25/01/1999;000032;REPARACION DE LLANTA , COLOCACION DE PERNOS NUEVO;33;N
02;25/01/1999;000032;REPARACION DE CHAPAS , SOPORTES DE FAROS Y ESCALERILLAS;33;N
03;25/01/1999;000032;ELECTRICIDAD;33;N
04;25/01/1999;000032;PINTADO DE MAQUINA;33;N
01;19/01/1999;000034;REVISION DE MOTOR Y DESMONTAR;50;N
01;26/01/1999;000035;REPARACION DE VALVULA Y FRENO TRASERO;126;N
01;26/01/1999;000036;REPARACION DE RADIADOR;253;N
07;04/01/1999;000003;PERDIDAS DE ACEITE DE TUBO DE ENFRIADOR ;253;N
08;04/01/1999;000003;REPARACION ELECTRICA;253;N
01;26/01/1999;000037;DESMONTAR GRUPO PARA SU REPARACION EN TALLER Y MONTAJE EN MAQUINA;7;N
01;27/01/1999;000038;REPARACION DE BOMBA LINDE;80;N
01;27/01/1999;000039;REPARACION DE BOMBA DE FRENO;50;N
02;11/01/1999;000012;REPARACION ELECTRICA;50;N
02;26/01/1999;000037;REPARACION DE GRUPO  EN TALLER;7;N
01;29/01/1999;000040;REPARACION DE ACUMULADOR;387;N
02;27/01/1999;000038;REPARACION EN TALLER.;80;N
01;01/02/1999;000041;REPARACION DE PISTON;377;N
02;01/02/1999;000041;ENCASQUILLADO DE AGUILON;377;N
03;01/02/1999;000041;CAMBIO DE PLUMIN;377;N
04;01/02/1999;000041;REPARACION DE MOTOR;377;N
01;01/01/1999;000042;COLOCACION DE BULON;54;N
03;27/01/1999;000038;REPARACION DE HIDRAULICO DE PINZA;80;N
01;02/02/1999;000043;ACOPLAMIENTO DE VIDALBA;377;N
01;02/02/1999;000044;REPARACION DE MOTOR;369;N
04;27/01/1999;000038;REPARACION DE TORRE DE CONTROL REPUESTO DE PINZA;80;N
01;07/01/1999;000045;SOLDAR DEPOSITO GASOIL;8;N
01;03/02/1999;000046;COLOCACION DE BULON A CAJA BASCULANTE;402;N
02;20/01/1999;000023;PRUEBA DE GENERADOR EN CARGA;253;N
01;03/02/1999;000047;VIBRACIONES EN MOTOR Y RUIDO EN TRANSMICIONES;50;N
01;02/02/1999;000048;REPARAR CABLES GENERALES Y RELEX ARRANQUE;50;N
01;04/02/1999;000050;SILENTBLOK ;404;N
01;04/02/1999;000051;MANDO PALA;80;N
01;09/02/1999;000053;REPARACION DE FRENOS;253;N
01;05/02/1999;000055;FUGA DE ACEITE;9;N
01;05/02/1999;000057;REPARACION DE BOTELLA;33;N
02;03/02/1999;000047;ARBOL DIRECCION Y TRANSMISION CENTRAL, CONJUNTO VENTILADOR , ADAPTADOR DEL TURBO AL COLECTOR;50;N
01;05/02/1999;000056;REVISION DE FUGAS DE ACEITE, GASES DE CARACOLA ESCAPE Y TORNILLOS DE DINA Y BOMBA INYECTORA;7;N
03;03/02/1999;000047;REPARACION EN TALLER;50;N
02;05/02/1999;000057;REPARACION BOTELLA EN TALLER;33;N
01;10/02/1999;000058;EMBOLO DE ELEVACION;20;N
01;22/01/1999;000059;2ª REVISION 22-JUL-99 GENERADORES PENDIENTE PDO.3791;253;N
01;11/02/1999;000061;REPARACION DE MARTILLO;310;N
01;12/02/1999;000062;REVISION DE RUIDO EN MAQUINA;9;N
01;12/02/1999;000063;REPARACION DE PERFORADORA Y LANZA;310;N
01;16/01/1999;000064;REPARACION AGUILON;7;N
02;11/02/1999;000064;AGUILON;7;N
01;11/02/1999;000065;PESADORA;17;N
02;10/02/1999;000058;REPARACION DE RUEDA;20;N
01;15/02/1999;000066;CAMBIO DE MARCHA;17;N
01;15/02/1999;000067;REPARACION DE CONTROL REPUESTO DEPINZA;80;N
01;16/02/1999;000068;REVISION DE FUGA DE AGUA;7;N
02;05/02/1999;000055;COLOCACION DE TAPA BALANCINES;9;N
01;17/02/1999;000069;COLOACION DE ESPARRAGO Y JUEGO DE JUNTAS;357;N
01;18/02/1999;000070;REPARACION BOTELLA ELEVACION , CORREGUIR SALIDERO , COLOCACION DE MUELLE;50;N
02;04/01/1999;000006;LIMPIEZA DE MAQUINA;253;N
03;04/01/1999;000006;REPARACION DE RODAJE;253;N
04;04/01/1999;000006;REPARACION DE RUEDA GUIA;253;N
05;04/01/1999;000006;SUSTITUCION DE ENFRIADOR ACEITE HIDRAULICO;253;N
06;04/01/1999;000006;CAJA VALVULAS ;253;N
07;04/01/1999;000006;SUSTITUCION DE CAMISAS DE BOTELLAS DE ELEVACION Y VOLTEO ;253;N
01;24/11/1998;000090;REPARACION DE FRENOS;33;N
02;24/11/1998;000090;REPARACION DE PULMON DE FRENO DE MANO;33;N
03;24/11/1998;000090;CAMBIO DE ACEITES Y FILTROS;33;N
04;24/11/1998;000090;CORREGUIR SALIDEROS DE ACEITE HIDRAULICO;33;N
05;24/11/1998;000090;DESMONTAR CARDAN DELANTERO Y TRASERO;33;N
06;24/11/1998;000090;MATERIAL AGUILON;33;N
07;24/11/1998;000090;MATERIAL DE TRANSMICION;33;N
05;01/02/1999;000041;SALIDEROS GENERALES;377;N
08;24/11/1998;000090;COLOCACION DE TERMOSTATO;33;N
01;24/02/1999;000072;CAMBIO DE ACEITE;50;N
01;25/02/1999;000073;QUITAR SALIDEROS DE ACEITE;126;N
02;25/02/1999;000073;REPARACION DE PLUMIN;126;N
01;25/02/1999;000075;SACAR MOTOR PARA REPARACION DE EMBRAGUE CENTRAL DE CAJA TRANSFER, DESMONTAR VOLANTE MOTOR, RECTIFICAR PLATOS DE EMBRAGUES, ACOPLACION DE TRES SECTORES DE FERODOS A ESTRIADO DE VOLANTE, SUPRIMIR ARAÑA Y ESCENTRICA DE EJE MANDO CENTRAL, MONTAJE DE EMBRAGUE, MONTAJE DE MOTOR Y CAJA TRANSFER. ACOPLACION DE CABLE DE ACELERADOR Y CONSTRUCCION DE UN FIJADOR PARA LA ACELARACION. ACOPLACION DE CALBEL DE MARCHA  ATRAS Y MARCHA HACIA DELANTE, CORREJI FUGAS DE ACEITE.;356;N
01;25/02/1999;000076;SUSTITUIR RESISTENCIA NUEVA VAPORIZADOR;17;N
01;02/03/1999;000077; REPARACION DE MARTILLO;356;N
02;13/01/1999;000024;DESMONTAR Y MONTAR BOMBA EN FINCA;275;N
03;13/01/1999;000024;REPARACION DE BOMBA EN TALLER;275;N
01;04/03/1999;000079;QUITAR SALIDEROS DE ACEITE DE TUBERIAS HIDRAULICAS;377;N
02;26/01/1999;000035;QUITAR SALIDEROS ACEITE;126;N
01;05/03/1999;000080;DESMONTAR TUBO HIDRAULICO;7;N
02;12/02/1999;000063;REPARACION DE MOTOR;310;N
01;04/03/1999;000082;AVISADOR MARCHA ATRAS Y LUCES.;50;N
01;05/03/1999;000083;REPARACION DE PALA Y COLOCACION DE DIENTES NUEVOS;54;N
01;08/03/1999;000084;REPARACION DE BOTELLA;54;N
01;08/03/1999;000085;REPARACION DE TUBERIAS HIDRAULICAS QUEMADAS Y OTROS COMPONETES.;50;N
08;04/01/1999;000006;REPARACION BOTELLAS RIPER ;253;N
01;09/03/1999;000087;COLOCACION DE TUBO ESCAPE;70;N
01;09/03/1999;000088;REPARACION DE CAJA VALVULAS;80;N
01;10/03/1999;000089;REPARACION DE BOTELLA VOLTEO  DE BIDONES;70;N
01;10/03/1999;000090;COLOCACION DE UN CUENTA LITROS;17;N
02;10/03/1999;000090;MONTAJE DE CONTADOR EN TALLER;17;N
01;11/03/1999;000091;REPARACION DE FRENOS E INSTALACION DE CALENTADORES;50;N
09;04/01/1999;000006;VOLVER A MONTAR RODILLOS USADOS;253;N
01;12/03/1999;000093;ENCASQUILLADO DE PALA;7;N
01;12/03/1999;000094;DESMONTAR BOMBA INYECTORA, RECTIFICADO DE CAÑONERA Y EJE, ENCASQUILLADO COLOCACION DE KIT DE JUNTAS Y MONTAJE. DESMONTAR BOMBA DE HIDRAULICO COLOCACION DE JUNTAS Y MONTAJE.DESMONTAR FILTRO DE DE SEVO, REPARACION DE SALIDERO DE ACEITE DE INDICADOR DE TEMPERATURA.;7;N
01;15/03/1999;000095;COLOCACION DE PISTON NUEVO;310;N
01;15/03/1999;000096;REPARACION DE ACUMULADOR;387;N
01;15/03/1999;000097;CAMBIO DE TUBO DE TUBO DE ORBITROL Y CAMBIOS GRAL DE ACEITE-;50;N
01;15/03/1999;000098;REPARACION DE MOTOR;50;N
02;15/03/1999;000098;REPARACION DE MOTOR EN TALLER;50;N
02;08/03/1999;000085;REPARACION DE COMPONETES ELECTRICOS QUEMADOS;50;N
03;08/03/1999;000085;REPARACION EN TALLER DE TUBERIAS HIDRAULICAS E INSTALACION ELECTRICA.;50;N
01;17/03/1999;000100;REPARACION DE BARRAS DE PERFORADORA;310;N
10;04/01/1999;000006;JUNTAS TURBO;253;N
01;18/03/1999;000101;SUSTITUCION DE LATIGUILLO DE BOTELLA DE VOLETO;1102;N
01;18/03/1999;000102;CONSTRUCCION DE BRAZO CULTIVADOR PARA ALGODON;20;N
01;18/03/1999;000103;REPARACION DE PUERTAS;50;N
01;19/03/1999;000104;REVISION DE MAQUINA POR CALENTAMIENTO;33;N
01;23/03/1999;000105;ASPERSORES
;20;N
01;16/03/1999;000106;SISTEMA ENGRASE MOTOR;7;N
02;16/03/1999;000106;REPARACION VALVULA EN TALLER.;7;N
02;19/03/1999;000104;COMPRESION AL SISTEMA DE REFRIGERACION. CAMBIO DE TUBOS DE INYECTORES ;33;N
01;23/03/1999;000107;REPARACION DE DISTRIBUIDOR;80;N
01;25/03/1999;000108;SOLDADURA DE BLOQUE DE MOTOR CON ELECTRODOS ESPECIALES.;212;N
02;23/03/1999;000107;MONTAJE DISTRIBUIDOR NUEVO EN MAQUINA ;80;N
01;26/03/1999;000109;REPARACION AVERIA ELECTRICA;17;N
01;26/03/1999;000110;REPARACION BOMBA DE AGUA;7;N
01;29/03/1999;000111;REVISION DE ACUMULADOR;33;N
11;04/01/1999;000006;TANQUE HIDRAULICO;253;N
01;30/03/1999;000113;MECHERO CUBA AGUA CALIENTE;23;N
01;31/03/1999;000114;MONTAJE RUEDA GUIA;387;N
01;31/03/1999;000115;CONSTRUCCION ENGANCHE;404;N
08;01/01/1999;000001;REPARACION MAQUINA ZORRO JOAQUIN;10000;N
02;26/03/1999;000109;ARREGLO DE FUENTE ALIMENTACION DE TIRO AUTOMATICO;17;N
12;04/01/1999;000006;ALTERNADOR;253;N
02;04/02/1999;000051;REPARACION DE VALVULA;80;N
01;06/04/1999;000116;BOMBA HIDRAULICO PRINCIPAL;253;N
01;06/04/1999;000117;REPARACION MARTILLO;292;N
13;04/01/1999;000006;VALVULA DE TENSOR CADENA;253;N
01;07/04/1999;000118;SOLTAR BULDOZER Y TRASLADO DE TRACTOR AL TALLER ;7;N
01;05/04/1999;000119;REPARACION CONTROL;7;N
01;05/04/1999;000120;REPARAR CORTO DE ARRANQUE Y MANDO VELOCIDADES;50;N
01;07/04/1999;000121;DESMONTAR DIRECCION Y ASIENTO CONDUCTOR.;50;N
01;07/04/1999;000122;QUITAR SALIDEROS ORBITROL;146;N
01;09/04/1999;000124;COLOCACION DE TUBO DE HIDROSTATICA;253;N
01;09/04/1999;000125;COLOCACION DE JUNTAS Y PRECAMARAS;150;N
01;12/04/1999;000126;REPARACION DE MARTILLO;356;N
01;12/04/1999;000127;REPARACION MOTOR;150;N
01;12/04/1999;000128;CONSTRUCCION DE ENGACHE TRACTOR;70;N
01;12/04/1999;000129;CONSTRUCCION DE LANZA;20;N
01;09/04/1999;000130;REPARACION BOMBA DE AGUA;50;N
02;09/04/1999;000124;ENCASQUILLADO DE PALA;253;N
01;13/04/1999;000131;REPARACION BOMBA DE TRANSFERENCIA;404;N
01;13/04/1999;000132;REPARACION DE BOMBA DE SERVO;802;N
01;13/04/1999;000133;REPARACION DE BRAZO;92;N
01;14/04/1999;000134;SALIDEROS DE FRENOS;50;N
02;07/04/1999;000118;REPARACION DE CARROS, RODILLOS Y CADENAS.;7;N
01;07/04/1999;000135;GESTION REPARACION CARROS;7;N
01;14/04/1999;000137;FUGA DE ACEITE HIDRAULICO A SERVO;1;N
01;14/04/1999;000138;CARGA DE NITROGENO DE  FRENOS.;1;N
01;16/04/1999;000139;REPARACION DE VIBRADOR;54;N
02;13/04/1999;000132;COLOCACION DE CASQUILLO BOTELLA DE RIPER;802;N
01;20/04/1999;000140;DESMONTAR MARTILLO;283;N
01;20/04/1999;000141;COLOCACION DE CERROJOS DE PUNTERO;1;N
01;20/04/1999;000142;REPARACION DE  RODAMIENTOS  DE VENTILADOR , SALIDEROS DE AGUA , ACEITE , HIDRAULICO Y CAMBIO DE ACEITE DE DIFERENCIALES Y REDUCTORES;33;N
02;07/04/1999;000121;REPARACION EN TALLER;50;N
02;18/03/1999;000103;REPARACION DE PALIER;50;N
01;22/04/1999;000143;REPARACION DE BOMBA HIDRAULICA;399;N
01;23/04/1999;000144;COLOCACION DE JUNTAS;356;N
01;27/04/1999;000145;REPARACION DE ACUMULADOR;387;N
09;01/01/1999;000001;SUEGRO DE FERNANDO;10000;N
01;27/04/1999;000146;REPARACION DE COJIDA MOTOR TRASLACION;54;N
03;07/04/1999;000118;CORREGUIR SALIDEROS DE ACEITE Y REPARACION DE CABINA;7;N
01;28/04/1999;000147;FRENO ESTACIONAMIENTO;7;N
01;04/01/1999;000148;REVISION DE MAQUINA PARA TRASLADO AL TALLER;253;N
02;04/01/1999;000148;REPARACION BOTELLAS DE RIPER;253;N
03;04/01/1999;000148;DESMONTAR RODILLOS NUEVOS Y VOLVERLOS A MONTAR.;253;N
04;04/01/1999;000148;JUNTAS DE TURBO;253;N
05;04/01/1999;000148;TANQUE HIDRAULICO;253;N
07;04/01/1999;000148;ALTERNADOR;253;N
