DOCFEC;DOCSER;DOCNUM;CODTER;DTOCAB;FORPAG;BASEBAS;IMPTBAS;RECBAS;FECORD;NUMORD;CODMAQ;FECENT;OBSERV;MARCAD;PORTES;PORFIN;RFDPP;ALBSER;ALBNUM;DESHOR;PREHOR;NUMKM;PREKM;DIETENT
21/03/2000;00;000001;7;0;1;9043,48;1446,96;0;;;CANTA-10 MORON;;;17402;0;0;0;;;0;0;0;0;0
06/04/2000;00;000002;50;0;45;284,28;45,48;0;;;TX;11/04/2000;;;0;0;0;;;0;0;0;0;0
27/04/2000;00;000003;50;0;45;34,38;5,5;0;;;;28/04/2000;SU REFERENCIA 002407/00;;0;0;0;;;0;0;0;0;0
08/09/2000;00;000004;4;0;1;8075,6;1292,1;0;;;950 CAT          (H);;;16590;0;0;0;;;0;0;0;0;0
30/11/2000;00;000005;253;0;3;5605,56;896,89;0;;;1-GRUPO ELECTROGENO;;NO INCLUYE MANO DE OBRA NI  MATERIALES QUE POSTERIORMENTE SALGAN DEFECTUOSOS;466;0;0;0;;;0;0;0;0;0
27/12/2000;00;000006;253;0;3;775,18;124,03;0;;;1-GRUPO ELECTROGENO;;A/A PAREJA, SOLICITAR URGENTEMENTE PEDIDO;;0;0;0;;;0;0;0;0;0
27/12/2000;00;000007;1110;0;1;334,64;53,54;0;;;1100 BRH;19/01/2001;PUNTERO 50% EN GARANTIA SIN CARGO EN PORTES PARA RECOGER EN TALLER;;0;0;0;;;0;0;0;0;0
03/01/2001;00;000008;328;0;11;6225,11;996,02;0;;;;;;;0;0;0;;;0;0;0;0;0
28/12/2000;00;000009;253;0;3;965,68;154,51;0;;;3-GRUPO ELECTROGENO;;MANO DE OBRA VAN EN LOS ALBARANES 3937-3948-3949;;0;0;0;;;0;0;0;0;0
03/01/2001;00;000010;4;0;1;6666,34;1066,62;0;;;;;;;0;0;0;;;0;0;0;0;0
26/04/2001;01;000001;0;0;12;1080,39;172,86;0;;;;;PARA REALIZAR EL PEDIDO DEVOLVER ESTE PRESUPUESTO FIRMADO POR FAX ( PORTES DEBIDOS )
;;0;0;0;;;0;0;0;0;0
21/09/2001;01;000002;33;0;8;4370,62;699,3;0;;;980 C   IY;;;;0;0;0;;;0;0;0;0;0
21/09/2001;01;000003;808;0;1;3499,23;559,88;0;;;966 C CAT;;;;0;0;0;;;0;0;0;0;0
21/09/2001;01;000004;50;0;45;44,99;7,2;0;;;;27/09/2001;A/A DE DAVID CALERO;;0;0;0;;;0;0;0;0;0
15/01/2002;02;000001;50;0;45;5026,92;804,31;0;;;966;;;;0;0;0;;;0;0;0;0;0
29/04/2002;02;000002;165;0;1;22537,95;3606,07;0;;;;;FORMA DE PAGO: 50% PARA HACER EL PEDIDO  13.072,01 EU, EL RESTO AL PONER EN FUNCIONAMIENTO EL MARTILLO.;;0;0;0;;;0;0;0;0;0
17/10/2002;02;000003;50;0;45;29;4,64;0;;;;17/10/2002;SEGUN OFERTA 056506/02 ;;0;0;0;;;0;0;0;0;0
16/10/2002;02;000004;377;0;11;8959,74;1433,56;0;;;POCLAIN 90;;EXPLICACION DETALLADA DE LOS CONCEPTOS DE LA FACTURA 99/126 DE 28-02/1999;;0;0;0;;;0;0;0;0;0
21/01/2003;03;000001;22;0;11;228,4;36,54;0;;;CLARK;;PRESUPUESTO APROXIMADO;;0;0;0;;;0;0;0;0;0
15/04/2003;03;000002;50;0;45;117,38;18,78;0;;;966;16/04/2003;PETICION 058706/03 ;;0;0;0;;;0;0;0;0;0
08/08/2003;03;000004;150;0;3;451;72,16;0;;;BRV32;;HAY QUE ABONAR EL IMPORTE DE LAS PIEZAS (7.039,74) PARA PARA HACER EL PEDIDO DE LAS MISMAS.;;0;0;0;;;0;0;0;0;0
13/08/2003;03;000005;50;0;45;703,18;112,51;0;;;;14/08/2003;OFERTA 060424/03 ;;0;0;0;;;0;0;0;0;0
10/03/2004;04;000001;50;0;45;21,75;3,48;0;;;;11/03/2004;FAX 913960240 ;;0;0;0;;;0;0;0;0;0
01/02/2006;60;000001;932;0;46;1126,28;180,2;0;;;DP 40;07/02/2006;VALIDO PARA 30 DIAS            A/A JUAN ANDRADE;;0;0;0;;;0;0;0;0;0
17/02/2006;60;000002;00;0;0;564,14;90,26;0;;;;;PEDIR PRECIOS DE ALTERNADORES, MOTORES ARRANQUE Y FAROS.;;0;0;0;;;0;0;0;0;0
20/02/2006;60;000003;50;0;45;31636,86;5061,9;0;;;980 G;;NO ESTAN PRESUPUESTADAS  LAS PIEZAS QUE SE APRECIEN  DEFECTUOSAS EN EL MONTAJE.;;1000;0;0;;;0;0;0;0;0
23/02/2006;60;000004;940;0;3;1020;163,2;0;;;;;A/A AINOA;;60;0;0;;;0;0;0;0;0
16/03/2006;60;000005;210;0;40;450,31;72,05;0;;;SILVER CLIP SC28;;MONTAJE EN KOMATSU MIXTA, GUARROMAN;;0;0;0;;;6;23;460;0,3;15
22/03/2006;60;000006;310;0;40;2649,13;423,86;0;;;MARTILLO HIDRAULICO;;;;0;0;0;;;0;0;0;0;0
29/03/2006;60;000007;210;0;40;5494,41;879,11;0;;;HYUNDAI;;;8559;0;0;0;;;0;0;0;0;0
07/04/2006;60;000008;50;0;45;12227,28;1956,36;0;;;980 G Nº2;;;10651;675;0;0;;;0;0;0;0;0
20/04/2006;60;000009;945;0;47;650;104;0;;;;20/04/2006;A/A MARIA JOSE, ;;0;0;0;;;0;0;0;0;0
18/05/2006;60;000010;932;0;2;940,8;150,53;0;;;HYSTER 7000;;PLAZO ENTREGA 4 DIAS Y 150 _ DE PORTES  ENTRE LA  SEMANA 19 - 23 JUNIO PORTES PAGADOS
A/A JUAN ANDRADES;;0;0;0;;;0;0;0;0;0
08/06/2006;60;000011;351;0;2;370,79;59,33;0;;;;;;;0;0;0;;;0;0;0;0;0
01/08/2006;60;000012;935;0;3;1286,44;205,83;0;;;501 EXV;;LAS PIEZAS NOS SON ORIGINALES, ES MATERIAL ALTERNATIVO;;70,84;0;0;;;0;0;0;0;0
08/09/2006;60;000013;00;0;0;8866,36;1418,62;0;;;D 4 E ESPECIAL;;OFERTA VALIDA HASTA 22-09-2006 
;;0;0;0;;;0;0;0;0;0
28/09/2006;60;000015;344;0;45;857,81;137,25;0;;;EC460B;;;;0;0;0;;;0;0;0;0;0
30/09/2006;60;000016;928;0;3;165,48;26,48;0;;;;;;;0;0;0;;;0;0;0;0;0
30/09/2006;60;000017;344;0;45;183,2;29,31;0;;;;;;;0;0;0;;;0;0;0;0;0
11/10/2006;60;000018;344;0;45;295,16;47,23;0;;;;;;;0;0;0;;;0;0;0;0;0
17/10/2006;60;000019;50;0;45;1183,86;189,42;0;;;980 G;;;;0;0;0;;;0;0;0;0;0
07/11/2006;60;000020;1;0;1;8260,29;1321,65;0;;;SIDE-4;;PIEZAS IMPORTACION USA, GARANTIA UN AÑO, ;;0;0;0;;;0;0;0;0;0
07/11/2006;60;000021;50;0;45;182,24;29,16;0;;;;;;;0;0;0;;;0;0;0;0;0
08/11/2006;60;000022;1;0;1;11381,04;1820,97;0;;;;;MOTOR 3408 988 F SR. 8YG922;;0;0;0;;;0;0;0;0;0
14/11/2006;60;000023;932;0;2;14185,23;2269,64;0;;;IT 28 CAT;;VALIDEZ DE PRESUPUESTO HASTA 31-12-2006;;360;0;0;;;0;0;0;0;0
14/11/2006;60;000024;932;0;2;12278,42;1964,55;0;;;IT 28 CAT;;VALIDEZ DEL PRESUPUESTO HASTA 31-12-2006
MATERIAL ALTERNATIVO EXCEPTO LO SEÑALADO COMO ORIGINAL;;360;0;0;;;0;0;0;0;0
15/11/2006;60;000025;952;0;3;1202,5;192,4;0;;;;;OFERTA VALIDA HASTA EL 31-12-2006;;0;0;0;;;0;0;0;0;0
16/02/2007;71;000001;50;0;45;1286,64;205,86;0;;;980 G;;;;0;0;0;;;0;0;0;0;0
21/02/2007;71;000002;975;0;3;4408,26;705,32;0;;;PC 240 NLC;;3187-0806-96-2352751826, LA TRANSF.SE REALIZARA CON ANTERIORIORIDAD AL TRABAJO.;;0;0;0;;;0;0;0;0;0
22/03/2007;71;000003;50;0;45;91,2;14,59;0;;;980 G Nº3;03/04/2007;Nº PETICION OFERTA 6000003147;;0;0;0;;;0;0;0;0;0
22/03/2007;71;000004;932;0;2;10480;1676,8;0;;;IT 28 CAT;15/05/2007;PLAZO DEL PRESUPUESTO ES DE 15 DIAS , LA CUCHILLA ES REVERSIBLE , EL PLAZO DE ENTREGA ES DE 45 DIAS APARTIR DE FECHA PEDIDO;;0;0;0;;;0;0;0;0;0
26/04/2007;71;000005;50;0;45;215,46;34,47;0;;;980 G;;;;0;0;0;;;0;0;0;0;0
23/04/2007;71;000006;958;0;1;8325;1332;0;;;;;OFERTA VALIDA HASTA 2- MAYO 2007 ;;240;0;0;;;0;0;0;0;0
30/05/2007;71;000007;1110;0;;6000;960;0;;;PERLINI;31/05/2007;FORMA DE PAGO: CONFIRMING 90 DIAS. FECHA  FACTURA. PORTES INCLUIDOS.;;0;0;0;;;0;0;0;0;0
08/08/2007;71;000008;50;0;45;82,4;13,18;0;;;;;PET-OFERTA Nº 6000004066;;0;0;0;;;0;0;0;0;0
05/10/2007;71;000009;50;0;45;2248;359,68;0;;;;;;;0;0;0;;;0;0;0;0;0
09/11/2007;71;000010;1110;0;45;11400;1824;0;;;PERLINI;; CONFIRMING 90 DIAS, FECHA FACTURA. ENTREGA INMEDIATA. PORTES INCLUIDOS.;;0;0;0;;;0;0;0;0;0
09/11/2007;71;000011;1110;0;45;18940;3030,4;0;;;PERLINI;;CONFIRMING 90 DIAS, FECHA FACTURA. ENTREGA INMEDIATA. PORTES INCLUIDOS.;;0;0;0;;;0;0;0;0;0
23/11/2007;71;000012;1110;0;45;7260;1161,6;0;;;;;CONFIRMING 90 DIAS FECHA FACTURA. ENTREGA 3-4 DIAS. PORTES INCLUIDOS.;;0;0;0;;;0;0;0;0;0
23/11/2007;71;000013;1110;0;45;10142,4;1622,78;0;;;;;CONFIRMING 90 DIAS FECHA FACTURA. ENTREGA 10-12 DIAS. PORTES INCLUIDOS.;;0;0;0;;;0;0;0;0;0
28/11/2007;71;000014;57;0;;1296,58;207,45;0;;;PC 240 NLC 6K;; A/A  JOSE MANUEL BONILLA                                               PLAZO ENTREGA 2-3 DIAS;;0;0;0;;;0;0;0;0;0
28/11/2007;71;000015;4;0;1;415,6;66,5;0;;;950 E    HS;;ASIENTO MAQUINA. PLAZO DE ENTREGA INMEDIATO;;0;0;0;;;0;0;0;0;0
21/02/2008;81;000001;344;0;45;3244,04;519,05;0;;;DRAGALINA Nº 2;03/03/2008;PLAZO ENTREGA DIEZ DIAS 
DURACION DEL PRESUPUESTO 15 DIAS;;0;0;0;;;0;0;0;0;0
21/02/2008;81;000002;344;0;45;7793,46;1246,95;0;;;WA 480;27/02/2008;;;0;0;0;;;0;0;0;0;0
04/03/2008;81;000003;0;0;0;80,35;12,86;0;;;;;DEL MOTOR 30333070 ES IMPOSIBLE LA BOMBA DE AGUA;;0;0;0;;;0;0;0;0;0
06/03/2008;81;000004;253;0;3;3611,38;577,82;0;;;Nº1 980 G;;A/A DE JOSE ESCALERA;;0;0;0;;;2;114,5;0;0;0
26/03/2008;81;000005;932;0;13;596,49;95,44;0;;;DP 30;26/03/2008;;17952;0;0;0;;;0;0;0;0;0
31/03/2008;81;000006;1001;0;46;5582,88;893,26;0;31/03/2008;000272;229;;PRESUPUESTO ES APROXIMADO , LA BOMBA ACEITE , BOMBA DE AGUA SI HICIERA FALTA , MOTOR DE ARRANQUE Y ALTERNADOR HAY QUE REVISARLO
MANDAR CONFIRMACION DEL PRESUPUESTO ;2547;0;0;0;81;000456;0;0;0;0;0
02/04/2008;81;000007;983;0;1;1521,38;243,42;0;;;L180C;04/04/2008;el pedido debe ser antes de las 14 horas;;0;0;0;;;0;0;0;0;0
02/04/2008;81;000008;825;0;1;4241,52;678,64;0;;;936 E;;LA CULATA TIENE UN DEFECTO EN EL PLANO BASTANTE PROFUNDO Y PUEDE SUPONER UN RIESGO QUE SE PARTA UNA VEZ MONTADA , YA QUE SE VE QUE SE HA RECTIFICADO VARIAS VECES EL PLANO. SEGUN CONVERSACION SALVADOR RUS CON DAVID NO SE TOCA LA BOMBA INYECTORA . EL PRESUPUESTO ES APROXIMADO;32855;0;0;0;;;0;0;0;0;0
11/04/2008;81;000009;932;0;13;720,39;115,26;0;;;DP 30;;PRESUPUESTO ES APROXIMADO;;0;0;0;;;0;0;0;0;0
21/04/2008;81;000010;50;0;45;11331,42;1813,03;0;;;980 G Nº2;;;18608;0;0;0;;;0;0;0;0;0
21/04/2008;81;000011;344;0;45;976,8;156,29;0;;;L460EC;24/04/2008;DIENTES VOLVO 460 REFORZADOS;;0;0;0;;;0;0;0;0;0
21/04/2008;81;000012;344;0;45;919,56;147,13;0;;;L460EC;;DIENTES VOLVO 460 STANDARD;;0;0;0;;;0;0;0;0;0
21/04/2008;81;000013;344;0;45;316,08;50,57;0;;;WA 480;24/04/2008;DIENTES WA 480;;0;0;0;;;0;0;0;0;0
15/04/2008;81;000014;253;0;3;3200;512;0;;;Nº1 980 G;;AMPLIACION PLIEGO 12956/08 CON PEDIDO 1816 CB/CRRC;;300;0;0;;;0;0;0;0;0
23/04/2008;81;000015;1001;0;11;1908,96;305,43;0;24/04/2008;000350;CAT 245 B;;;;200;0;0;80;000697;8;26;336;0,36;64
29/04/2008;81;000016;58;0;2;4356,2;696,99;0;;;A35D 11626;;PRESUPUESTO MATERIAL REPARACION FRENOS A35D;;0;0;0;;;0;0;0;0;0
06/05/2008;81;000017;344;0;45;149,66;23,95;0;;;;;PRESUPUESTO DIENTES;;0;0;0;;;0;0;0;0;0
06/05/2008;81;000018;837;0;11;8875;1420;0;;;FIAT FH4002;;PLAZO DE ENTREGA 15 DIAS;;0;0;0;;;0;0;0;0;0
08/05/2008;81;000019;837;0;11;2954,67;472,75;0;;;375 CAT;;PLAZO DE ENTREGA DEL MATERIAL 10 A 12 DIAS;;0;0;0;;;0;0;0;0;0
09/05/2008;81;000020;345;0;45;12571,8;2011,49;0;28/07/2008;000701;521 D T;;;;0;0;0;80;000828;0;0;0;0;0
15/05/2008;81;000021;1001;0;11;17454,11;2792,66;0;;;CAT 245 B;;EN EL PRESUPUESTO NO ESTA INCLUIDO , REVISAR MOTOR DE ARRANQUE , ALTERNADOR , BOMBA INYECTORA , SOLO SE INCLUYE EL MONTAJE DE MOTOR EN TALLER , SI HICIERA FALTA ALGUNA PIEZA MAS A LA HORA DEL MONTAJE , SE LE COMUNICARA  Y SE PONDRA EN CONOCIMIENTO DEL ENCARGADO . PRESUPUESTAMOS LAS PIEZAS QUE HACEN FALTA PARA UNA REPARACION CON GARANTIAS.
UNA VEZ SE VAYA A MONTAR EL MOTOR EN LA MAQUINA SERA NECESARIO MIRAR SI LOS INDICADORES DE PRESION ACEITE MOTOR , TEMPERATURA , ALTERNADOR FUNCIONAN SI NO FUNCIONARAN HABRIA QUE MONTARLOS NUEVOS;;0;0;0;;;0;0;0;0;0
21/05/2008;81;000022;932;0;13;137,58;22,01;0;;;DP 40;;PLAZO DE ENTREGA DEL MATERIAL ES 2 DIAS;22522;0;0;0;;;0;0;0;0;0
23/05/2008;81;000023;00;0;0;1186,14;189,78;0;;;;;A/A MANOLO. PLAZO DE ENTREGA 48 HORAS;;0;0;0;;;0;0;0;0;0
23/05/2008;81;000024;00;0;0;3900;624;0;;;;;A/A MANOLO. ENTREGA INMEDIATA;;0;0;0;;;0;0;0;0;0
06/06/2008;81;000025;345;0;45;3347,78;535,64;0;;;621 C MARBELLA;;LA BOMBA HIDRAULICA ES NUEVA ,LOS CARTUCHOS DE REPARACION CON EL RETEN SALDRIA MAS CARO QUE NUEVA;;0;0;0;;;0;0;0;0;0
16/06/2008;81;000026;58;0;2;11355,5;1816,88;0;;;K120;;EL PRESUPUESTO SEGUN KOROTA TIENE UN PLAZO DE 2 DIAS EN LAS PIEZAS YA QUE HA SUBIDO 25% Y ES PLAZO QUE RESPETAN LOS PRECIOS;;0;0;0;;;0;0;0;0;0
16/06/2008;81;000027;1030;0;47;619,35;99,1;0;;;;;PRESUPUESTO CUCHILLA;;0;0;0;;;0;0;0;0;0
10/06/2008;81;000028;1038;0;3;3820,94;611,35;0;;;;;3187 0806 96 2352751826  DEVOLVER PRESUPUESTO  ACEPTADO Y JUSTIFICANTE DE TRANSFERANCIA. (EVIAR DATOS FISCALES) ;;0;0;0;;;8;27;620;0,36;16
24/06/2008;81;000029;344;0;45;10577,7;1692,43;0;;;L 220 E;;PARA PODER TENER LA BOMBA PARA EL VIERNES EL PEDIDO TIENE QUE SER ANTES DE LAS 4 TARDE;;0;0;0;;;0;0;0;0;0
30/06/2008;81;000030;00;0;0;184,5;29,52;0;;;;;A/A MANU;;0;0;0;;;0;0;0;0;0
01/07/2008;81;000031;00;0;0;712;113,92;0;;;;;A/A MANU                                                                         MATERIAL ORIGINAL. PLAZO DE ENTREGA 2-3 DIAS.;;0;0;0;;;0;0;0;0;0
02/07/2008;81;000032;266;0;52;20555,97;3288,96;0;;;WA 500-3H;;ESTE PRESUPUESTO ES APROXIMADO , NO ESTA INCLUIDO NI LA BOMBA DE AGUA , BOMBA ACEITE NI CARTUCHO DE TURBO;;0;0;0;;;0;0;0;0;0
03/07/2008;81;000033;266;0;52;8251,09;1320,17;0;;;WA 500-3H;;ESTE PRESUPUESTO ES APROXIMADO , NO ESTA INCLUIDO NI LA BOMBA DE AGUA , BOMBA DE ACEITE NI CARTUCHO DE TURBO ¿LOS SILENTBLOCK ESTAN DEFECTUOSOS Y VALEN LOS 8 UND. 1403.04 E  ?;;0;0;0;;;0;0;0;0;0
17/07/2008;81;000034;951;0;3;596,74;95,48;0;17/07/2008;000650;BRH 250;;;;0;0;0;80;000645;0;0;0;0;0
17/07/2008;81;000035;951;0;3;1119,64;179,14;0;;;BRH 501;;;;0;0;0;;;0;0;0;0;0
18/07/2008;81;000036;951;0;3;534;85,44;0;;;;;;;0;0;0;;;0;0;0;0;0
22/08/2008;81;000037;975;0;3;12898,96;2063,83;0;;;L 180 JAR;;;;0;0;0;;;0;0;0;0;0
17/09/2008;81;000038;402;0;45;4591,75;734,68;0;;;CAT 816;;;22329;0;0;0;;;0;0;0;0;0
29/09/2008;81;000039;1022;0;3;1972,5;315,6;0;;;;30/09/2008;;;0;0;0;;;0;0;0;0;0
30/09/2008;81;000040;975;0;3;13500;2160;0;;;MACHACADORA;;FORMA DE PAGO: SE REALIZARA TRANSFERENCIA POR LA TOTALIDAD DEL IMPORTE PARA REALIZAR EL PEDIDO
3187/0806/96/2352751826;;0;0;0;;;0;0;0;0;0
01/10/2008;81;000041;00;0;0;541,36;86,62;0;;;;;;;0;0;0;;;0;0;0;0;0
08/10/2008;81;000042;343;0;45;678,1;108,5;0;;;L 70 MLG (MORT);;ESTE PRESUPUESTO ES APROXIMADO;;0;0;0;;;4,5;27;340;0,36;32
08/10/2008;81;000043;1013;0;3;2081,46;333,03;0;;;;;;;0;0;0;;;0;0;0;0;0
21/10/2008;81;000044;00;0;0;4498,86;719,82;0;;;;;PLAZO DE ENTREGA 7 DIAS
PAGO AL EFECTUAR EL PEDIDO;;0;0;0;;;0;0;0;0;0
21/10/2008;81;000045;253;0;3;1350;216;0;;;Nº2 980 G;;REFERENCIA 36176 JER;;0;0;0;;;2;115,44;0;0;64
23/10/2008;81;000046;289;0;11;189,51;30,32;0;;;TR 40  Nº2;;;;0;0;0;;;0;0;0;0;0
23/10/2008;81;000047;1047;0;3;1073,92;171,83;0;04/11/2008;001010;DL 400;;3187 0806 96 2352751826  DEVOLVER PRESUPUESTO  ACEPTADO Y JUSTIFICANTE DE TRANSFERANCIA;;0;0;0;80;000974;7;27;600;0,36;16
03/11/2008;81;000048;1026;0;2;8059,27;1289,48;0;;;;;MOTOR CUMMINS Nº 21335497;;0;0;0;;;0;0;0;0;0
04/11/2008;81;000049;918;0;3;9387,32;1501,97;0;;;WA 320;;;;0;0;0;;;0;0;0;0;0
07/11/2008;81;000050;00;0;45;337,18;53,95;0;;;;;PRESUPUESTO VOLVO L180D;;0;0;0;;;0;0;0;0;0
21/11/2008;81;000051;57;0;11;3560;569,6;0;;;924 LITRONIC;;PLAZO DE ENTREGA 5 DÍAS     A/A ANTONIO GARCIA;;0;0;0;;;0;0;0;0;0
24/11/2008;81;000052;402;0;50;3954;632,64;0;;;CAT 908;;PORTES PAGADOS.
PLAZO DE ENTREGA 3-4 SEMANAS;;0;0;0;;;0;0;0;0;0
26/11/2008;81;000053;253;0;3;1200;192;0;;;Nº2 980 G;;AMPLIACION PEDIDO Nº 5984;;0;0;0;;;2;110;0;0;0
26/11/2008;81;000054;289;0;11;1563,91;250,23;0;;;TR 40  Nº2;;PLAZAO DE ENTREGA MATERIAL 3 DIAS A PROBACION DEL PRESUPUESTO;;0;0;0;;;0;0;0;0;0
27/11/2008;81;000055;1028;0;3;618,52;98,96;0;;;ATLAS 1804;;MOTOR 24/48 HORAS. PORTES PAGADOS
PIÑON 4/5 DIAS.
SI EL PIÑON NO ES CORRECTO TIENE PENALIZACION 20 %;;0;0;0;;;0;0;0;0;0
